text,gold_labels,generated
Indolent aspergillus arthritis complicating fludarabine-based non-myeloablative stem cell transplantation.,"[['fludarabine', 'aspergillus arthritis']]","[['fludarabine', 'Indolent aspergillus arthritis']]"
"We report the case of a patient with the acquired immunodeficiency syndrome treated with rifampicin who had a 'normal' screening test for adrenal insufficiency, yet had clinical evidence of adrenal failure.","[['rifampicin', 'adrenal failure']]","[['rifampicin', 'adrenal failure']]"
"We report a 45-year-old Chinese man with CML and chronic hepatitis B virus infection, on imatinib treatment, presenting with herpetic rash and acute liver failure.","[['imatinib', 'acute liver failure'], ['imatinib', 'herpetic rash']]","[['imatinib', 'acute liver failure'], ['imatinib', 'herpetic rash']]"
A patient with a large hydatid cyst of the left lobe of the liver developed metabolic acidosis following rather liberal use of cetrimide-chlorhexidine solution as a scolicidal agent.,"[['cetrimide', 'metabolic acidosis'], ['chlorhexidine', 'metabolic acidosis']]","[['cetrimide','metabolic acidosis'], ['chlorhexidine','metabolic acidosis']]"
Late lethal hepatitis B virus reactivation after rituximab treatment of low-grade cutaneous B-cell lymphoma.,"[['rituximab', 'hepatitis B virus reactivation']]","[['rituximab', 'lethal hepatitis B virus reactivation']]"
Dapsone-induced erythroderma with Beau's lines.,"[['Dapsone', 'erythroderma']]","[['Dapsone', 'erythroderma']]"
We report a case of vitiligo that occurred during the second month of interferon alpha 2a therapy for chronic active hepatitis C.,"[['interferon alpha 2a', 'vitiligo']]","[['interferon alpha 2a', 'vitiligo']]"
"However, one patient exhibited severe hypersensitivity reactions including cardiac arrest and apnea, and another four patients developed eruptions, hypotension, and tachycardia soon after administration of CBDCA.","[['CBDCA', 'apnea'], ['CBDCA', 'cardiac arrest'], ['CBDCA', 'eruptions'], ['CBDCA', 'hypotension'], ['CBDCA', 'severe hypersensitivity reactions'], ['CBDCA', 'tachycardia']]","[['CBDCA', 'cardiac arrest'], ['CBDCA', 'apnea'], ['CBDCA', 'eruptions'], ['CBDCA', 'hypotension'], ['CBDCA', 'tachycardia']]"
"A 52-year-old, white female developed low-grade fever, cough, and dyspnea after 8 weeks treatment with sodium aurothiomalate for rheumatoid arthritis.","[['sodium aurothiomalate', 'cough'], ['sodium aurothiomalate', 'dyspnea'], ['sodium aurothiomalate', 'low-grade fever']]","[['sodium aurothiomalate', 'cough'], ['sodium aurothiomalate', 'dyspnea'], ['sodium aurothiomalate', 'low-grade fever']]"
"After therapy for diabetic coma with insulin (containing the preservative cresol) and electrolyte solutions was started, the patient complained of increasing myalgia, developed a high fever and respiratory and metabolic acidosis and lost consciousness.","[['cresol', 'high fever'], ['insulin', 'high fever'], ['cresol', 'increasing myalgia'], ['insulin', 'increasing myalgia'], ['cresol', 'lost consciousness'], ['insulin', 'lost consciousness'], ['cresol', 'respiratory and metabolic acidosis'], ['insulin', 'respiratory and metabolic acidosis']]","[['cresol', 'lost consciousness'], ['insulin', 'lost consciousness'], ['insulin', 'increasing myalgia'], ['insulin', 'high fever'], ['cresol','respiratory and metabolic acidosis'], ['insulin', 'lost consciousness']]"
"We observed 5 reactions in 3 patients that appear to be related to a high dose-infusion time ratio, indicating that dose and rate of infusion may be important factors in precipitating anaphylactoid reactions with cisplatin.","[['cisplatin', 'anaphylactoid reactions']]","[['cisplatin', 'anaphylactoid reactions']]"
A MEDLINE search identified all the reported cases of hypersensitivity reactions to cyclosporine.,"[['cyclosporine', 'hypersensitivity reactions']]","[['cyclosporine', 'hypersensitivity reactions']]"
"Acute intravascular hemolysis developed when a diabetic patient, previously treated with glyburide, was started on another oral sulfonylurea drug, chlorpropamide.","[['chlorpropamide', 'Acute intravascular hemolysis'], ['glyburide', 'Acute intravascular hemolysis']]","[['chlorpropamide', 'Acute intravascular hemolysis']]"
"However, in order to avoid neuropathic side effects, patients under thalidomide therapy should be monitored every 6 months with nerve conduction studies while taking the drug.","[['thalidomide', 'neuropathic side effects']]","[['thalidomide', 'neuropathic side effects']]"
OBJECTIVES: The authors described a case of Hashimoto's disease during interferon-alpha (IFN-alpha) treatment for chronic viral C hepatitis in a patient with the specific genetic susceptibility associated with the thyroid disease.,"[['IFN-alpha', ""Hashimoto's disease""], ['interferon-alpha', ""Hashimoto's disease""]]","[['IFN-alpha', 'Hashimoto's disease'], ['interferon-alpha', 'Hashimoto's disease']]"
A patient developed restless legs symptoms paralleling the course of interferon-alpha (IFN alpha) therapy for chronic hepatitis C.,"[['IFN alpha', 'restless legs symptoms'], ['interferon-alpha', 'restless legs symptoms']]","[['IFN alpha','restless legs symptoms'], ['interferon-alpha','restless legs symptoms']]"
"Because nephrotic syndrome may be induced by IFN therapy, the IFN was stopped.","[['IFN', 'nephrotic syndrome'], ['IFN', 'nephrotic syndrome']]","[['IFN', 'nephrotic syndrome']]"
We report a case of pediatric bupropion ingestion resulting in multiple seizures.,"[['bupropion', 'multiple seizures']]","[['bupropion','multiple seizures']]"
Asthma and urticaria during disodium cromoglycate treatment.,"[['disodium cromoglycate', 'Asthma'], ['disodium cromoglycate', 'urticaria']]","[['disodium cromoglycate', 'Asthma'], ['disodium cromoglycate', 'urticaria']]"
It has been reported that fluoroquinolone antimicrobials prolong the corrected QT interval but rarely cause torsade de pointes.,"[['fluoroquinolone', 'torsade de pointes']]","[['fluoroquinolone', 'torsade de pointes']]"
We suggest discontinuing gemcitabine if radiation recall is observed.,"[['gemcitabine', 'radiation recall']]","[['gemcitabine', 'radiation recall']]"
"To our knowledge this is the first report of pancytopenia due to MMI, where the usual hypoplasia found is replaced by massive plasmocytosis.","[['MMI', 'massive plasmocytosis'], ['MMI', 'pancytopenia']]","[['MMI','massive plasmocytosis'], ['MMI', 'pancytopenia']]"
Hydroxyurea-induced acute interstitial pneumonitis in a patient with essential thrombocythemia.,"[['Hydroxyurea', 'acute interstitial pneumonitis']]","[['Hydroxyurea', 'acute interstitial pneumonitis']]"
"Our report suggested that CBDCA hypersensitivity was correlated with the total dose of previously administered platinum agents and that CBDCA should be excluded in patients who have received multiple platinum-based chemotherapy, even in platinum-sensitive cases, because CBDCA hypersensitivity can occur even with low-dose CBDCA administration.","[['CBDCA', 'hypersensitivity'], ['CBDCA', 'hypersensitivity'], ['CBDCA', 'hypersensitivity'], ['CBDCA', 'hypersensitivity']]","[['CBDCA', 'hypersensitivity']]"
"Total blindness with a transient tonic pupillary response, denervation supersensitivity, and abnormal visual-evoked potentials developed in a 54-year-old man after the use of quinine sulfate for leg cramps.","[['quinine sulfate', 'abnormal visual-evoked potentials'], ['quinine sulfate', 'denervation supersensitivity'], ['quinine sulfate', 'Total blindness with a transient tonic pupillary response']]","[['quinine sulfate', 'abnormal visual-evoked potentials'], ['quinine sulfate', 'Transient tonic pupillary response'], ['quinine sulfate', 'Total blindness'], ['quinine sulfate', 'denervation supersensitivity']]"
"Escape atrial complexes, which occurred following junctional premature complexes, failed to initiate tachycardia in the control state but tachycardia was always reinitiated by an identical escape sequence after procainamide.","[['procainamide', 'tachycardia']]","[['procainamide', 'tachycardia']]"
We conclude that MB is an effective treatment for ifosfamide-induced encephalopathy.,"[['ifosfamide', 'ifosfamide-induced encephalopathy']]","[['ifosfamide', 'encephalopathy']]"
A 60-year-old white man with chronic bronchitis was noted to develop acute respiratory failure and metabolic acidosis four days after being started on methazolamide (Neptazane) for an ophthalmologic problem.,"[['methazolamide', 'acute respiratory failure'], ['Neptazane', 'acute respiratory failure'], ['methazolamide', 'metabolic acidosis'], ['Neptazane', 'metabolic acidosis']]","[['methazolamide', 'acute respiratory failure'], ['Neptazane', 'acute respiratory failure'], ['methazolamide','metabolic acidosis'], ['Neptazane','metabolic acidosis']]"
"As this relapse coincided with development of a strong delayed-type hypersensitivity response to tuberculin and improved after treatment with the anti-inflammatory agent oxpentifylline, it was probably caused by restoration of pathogen-specific cellular immunity.","[['tuberculin', 'hypersensitivity response']]","[['tuberculin', 'delayed-type hypersensitivity response']]"
CASE SUMMARIES: Two patients who received ifosfamide-containing chemotherapy developed NCSE.,"[['ifosfamide', 'NCSE']]","[['ifosfamide', 'NCSE']]"
Findings on discontinuation and rechallenge supported the assumption that the hair loss was a side effect of the paroxetine.,"[['paroxetine', 'hair loss']]","[['paroxetine', 'hair loss']]"
A 15-kg weight gain developed in a patient during the third week of ibuprofen therapy.,"[['ibuprofen', '15-kg weight gain']]","[['ibuprofen', 'weight gain']]"
Dose-dependent olanzapine-associated leukopenia: three case reports.,"[['olanzapine', 'leukopenia']]","[['olanzapine', 'leukopenia']]"
"Nifedipine may induce, or aggravate, pre-existing, gastro-oesophageal reflux.","[['Nifedipine', 'gastro-oesophageal reflux']]","[['Nifedipine', 'aggravate'], ['Nifedipine', 'induce']]"
We report on a 14-year-old boy with severe haemophilia A who developed a portal vein thrombosis during continuous infusion of F VIII.,"[['F VIII', 'portal vein thrombosis']]","[['F VIII', 'portal vein thrombosis']]"
"Hyperkalaemia with renal tubular dysfunction by oral therapy of sulfamethoxazole-trimethoprim (co-trimoxazole) is described in 2 elderly Japanese patients with lymphoid malignancy, who developed Pneumocystis carinii pneumonia and improved.","[['co-trimoxazole', 'Hyperkalaemia'], ['sulfamethoxazole-trimethoprim', 'Hyperkalaemia'], ['co-trimoxazole', 'renal tubular dysfunction'], ['sulfamethoxazole-trimethoprim', 'renal tubular dysfunction']]","[['sulfamethoxazole-trimethoprim', 'Hyperkalaemia'], ['co-trimoxazole', 'Hyperkalaemia'], ['sulfamethoxazole-trimethoprim', 'Pneumocystis carinii pneumonia'], ['trimoxazole', 'Pneumocystis carinii pneumonia'], ['sulfamethoxazole-trimethoprim', 'Pneumocystis carinii pneumonia'], ['trimoxazole', 'Pneumocystis carinii pneumonia']]"
We present the first case of a patient with priapism after oral intake of the phenothiazine prothipendylhydrochloride.,"[['prothipendylhydrochloride', 'priapism']]","[['phenothiazine prothipendylhydrochloride', 'priapism']]"
Procainamide-induced incessant supraventricular tachycardia in the Wolff-Parkinson-White syndrome.,"[['Procainamide', 'incessant supraventricular tachycardia']]","[['Procainamide', 'incessant supraventricular tachycardia']]"
"Six patients developed peripheral neuropathy and five patients bone marrow depression, blood transfusions were given to three patients and in all five patients bone marrow function normalized after cessation of linezolid.","[['linezolid', 'bone marrow depression'], ['linezolid', 'peripheral neuropathy']]","[['linezolid', 'bone marrow depression'], ['linezolid', 'peripheral neuropathy']]"
"After infliximab treatment, additional sleep studies revealed an increase in the number of apneic events and SaO2 dips suggesting that TNFalpha plays an important role in the pathophysiology of sleep apnea.","[['infliximab', 'increase in the number of apneic events'], ['infliximab', 'SaO2 dips']]","[['infliximab', 'apneic events'], ['infliximab', 'SaO2 dips'], ['infliximab','sleep apnea']]"
"Finally, reserpine toxicity, in particular central nervous system (CNS) disturbances, was reported more frequently in patients also receiving barbiturates, suggesting additive CNS effects.","[['reserpine', 'reserpine toxicity']]","[['reserpine', 'central nervous system (CNS) disturbances'], ['barbiturates', 'central nervous system (CNS) disturbances'], ['reserpine','reserpine toxicity'], ['barbiturates','reserpine toxicity']]"
"CONCLUSIONS: Itraconazole-induced liver injury presents with a cholestatic pattern of injury with damage to the interlobular bile ducts, possibly leading to ductopenia.","[['Itraconazole', 'cholestatic pattern of injury'], ['Itraconazole', 'damage to the interlobular bile ducts'], ['Itraconazole', 'ductopenia'], ['Itraconazole', 'liver injury']]","[['Itraconazole', 'ductopenia'], ['Itraconazole', 'liver injury'], ['Itraconazole', 'cholestatic pattern of injury']]"
Allergic contact angioedema to benzoyl peroxide.,"[['benzoyl peroxide', 'Allergic contact angioedema']]","[['benzoyl peroxide', 'Allergic contact angioedema']]"
The use of beclomethasone diproprionate inhaler complicated by the development of an eosinophilic pneumonia reaction.,"[['beclomethasone diproprionate', 'eosinophilic pneumonia reaction']]","[['beclomethasone diproprionate', 'eosinophilic pneumonia reaction']]"
"A 21-year-old man with Tourette's syndrome, pedophilia, Asperger's syndrome, and multiple sclerosis experienced seizures after receiving therapy with interferon beta-1a.","[['interferon beta-1a', 'seizures']]","[['interferon beta-1a','seizures']]"
We describe 2 cases of SJS related to nevirapine use and review the literature on this newly recognized association.,"[['nevirapine', 'SJS']]","[['nevirapine', 'SJS']]"
A case history of a 15-year-old boy who developed incapacitating tardive dyskinesia that resolved during treatment with deanol is presented.,"[['deanol', 'tardive dyskinesia']]","[['deanol', 'incapacitating tardive dyskinesia']]"
A 54-year-old man developed TEN 4 weeks after beginning lamotrigine for complex partial seizures related to a glioblastoma multiforme brain tumor.,"[['lamotrigine', 'TEN']]","[['lamotrigine', 'TEN']]"
Central pontine myelinolysis manifested by temporary blindness: a possible complication of lithium toxicity.,"[['lithium', 'Central pontine myelinolysis'], ['lithium', 'temporary blindness']]","[['lithium', 'lithium toxicity'], ['lithium', 'Central pontine myelinolysis'], ['lithium', 'temporary blindness']]"
We describe a case of pneumonitis following local administration of methotrexate for nonsurgical termination of an ectopic pregnancy.,"[['methotrexate', 'pneumonitis']]","[['methotrexate', 'pneumonitis']]"
"In this report, one patient who developed gangrene after bleomycin and vincristine/vinblastine chemotherapy for AIDS-related Kaposi's sarcoma and another HIV-infected patient who exhibited symptoms of severe Raynaud's phenomenon related to the same regimen are presented.","[['bleomycin', 'gangrene'], ['vinblastine', 'gangrene'], ['vincristine', 'gangrene'], ['bleomycin', ""severe Raynaud's phenomenon""], ['vinblastine', ""severe Raynaud's phenomenon""], ['vincristine', ""severe Raynaud's phenomenon""]]","[['bleomycin', 'gangrene'], ['vincristine', 'gangrene'], ['vinblastine', 'gangrene'], ['bleomycin', 'Raynaud's phenomenon'], ['vincristine', 'Raynaud's phenomenon']]"
"RESULTS: Similar to previous findings of drug-induced vortex keratopathy, atovaquone vortex keratopathy is presumably caused by its lipophilic properties.","[['atovaquone', 'vortex keratopathy'], ['atovaquone', 'vortex keratopathy']]","[['atovaquone', 'vortex keratopathy']]"
Growth and adrenal suppression in asthmatic children treated with high-dose fluticasone propionate.,"[['fluticasone propionate', 'Growth and adrenal suppression']]","[['fluticasone propionate', 'Adrenal suppression'], ['fluticasone propionate', 'Growth']]"
5-Fluorouracil cardiotoxicity complicating treatment of stage IIB cervical cancer--case report.,"[['5-Fluorouracil', 'cardiotoxicity']]","[['5-Fluorouracil', 'cardiotoxicity']]"
Concurrent acute megaloblastic anaemia and pneumonitis: a severe side-effect of low-dose methotrexate therapy during rheumatoid arthritis.,"[['methotrexate', 'Concurrent acute megaloblastic anaemia'], ['methotrexate', 'pneumonitis']]","[['methotrexate', 'acute megaloblastic anaemia'], ['methotrexate', 'pneumonitis']]"
Our experience supports hemodialysis for ESRF patients with atenolol toxicity.,"[['atenolol', 'atenolol toxicity']]","[['atenolol', 'atenolol toxicity']]"
"While for ribavirin antidepressant effects are not known, we suppose that antidepressants may prevent changes in serotonergic or noradrenergic neurotransmission caused by IFN-alpha.","[['IFN-alpha', 'changes in serotonergic or noradrenergic neurotransmission']]","[['IFN-alpha', 'changes in serotonergic or noradrenergic neurotransmission']]"
Leflunomide-associated weight loss in rheumatoid arthritis.,"[['Leflunomide', 'weight loss']]","[['Leflunomide', 'weight loss']]"
"Pancreatitis is a very rare adverse effect associated with the use of amiodarone, and only four cases of amiodarone-induced pancreatitis have been reported in literature.","[['amiodarone', 'Pancreatitis'], ['amiodarone', 'pancreatitis']]","[['amiodarone', 'Pancreatitis']]"
Various case reports concerning dapsone-induced agranulocytosis are reviewed.,"[['dapsone', 'agranulocytosis']]","[['dapsone', 'agranulocytosis']]"
Mental nerve neuropathy as a result of hepatitis B vaccination.,"[['hepatitis B vaccination', 'Mental nerve neuropathy']]","[['hepatitis B vaccination', 'Mental nerve neuropathy']]"
PURPOSE: To describe bilateral corneal endothelial dysfunction in a patient with Parkinson disease who was treated with long-term amantadine.,"[['amantadine', 'bilateral corneal endothelial dysfunction']]","[['amantadine', 'bilateral corneal endothelial dysfunction']]"
Drug induced liver injury secondary to interferon-beta (IFN-beta) in multiple sclerosis.,"[['IFN-beta', 'liver injury'], ['interferon-beta', 'liver injury']]","[['IFN-beta', 'liver injury'], ['interferon-beta', 'liver injury']]"
Temozolomide was restarted 2 months later; the patient again developed a fever.,"[['Temozolomide', 'fever']]","[['Temozolomide', 'fever']]"
After abstinence from oolong tea his delirium resolved.,"[['oolong tea', 'delirium']]","[['oolong tea', 'delirium']]"
CONCLUSIONS: The fundus picture shown in these cases may be typical of ASPPC after IVTA injection.,"[['IVTA', 'ASPPC']]","[['IVTA', 'ASPPC'], ['IVTA', 'fundus picture']]"
He was diagnosed with possible serotonin syndrome; his symptoms resolved after clomipramine was stopped but before clozapine was restarted eight days later.,"[['clomipramine', 'serotonin syndrome']]","[['clomipramine','serotonin syndrome'], ['clozapine','serotonin syndrome']]"
"In patients with chronic heart failure, spironolactone added to conventional treatment may lead to serious and, occasionally, fatal hyperkalaemia.","[['spironolactone', 'serious and, occasionally, fatal hyperkalaemia']]","[['spironolactone', 'fatal hyperkalaemia']]"
Clofazimine enteropathy in a pediatric bone marrow transplant recipient.,"[['Clofazimine', 'enteropathy']]","[['Clofazimine', 'entopathy']]"
L-asparaginase-induced severe necrotizing pancreatitis successfully treated with percutaneous drainage.,"[['L-asparaginase', 'severe necrotizing pancreatitis']]","[['L-asparaginase','severe necrotizing pancreatitis']]"
"Initial treatment with heparin was substituted with thrombolysis, which resulted in clinical improvement and dissolution of right heart thrombus but was followed by fatal intracerebral haemorrhage.","[['heparin', 'fatal intracerebral haemorrhage']]","[['heparin', 'fatal intracerebral haemorrhage']]"
Acute acoustic nerve palsy associated with vincristine therapy.,"[['vincristine', 'Acute acoustic nerve palsy']]","[['vincristine', 'Acute acoustic nerve palsy']]"
"We describe a patient with Wilson's disease who presented with neurologic disease, was treated with D-penicillamine, and suffered sudden neurologic deterioration coincident with therapy.","[['D-penicillamine', 'neurologic deterioration']]","[['D-penicillamine', 'neurologic disease'], ['D-penicillamine', 'neurologic deterioration']]"
One case of priapism occurred during heparin therapy for a previous surgical operation to the knee is reported.,"[['heparin', 'priapism']]","[['heparin', 'priapism']]"
"Sodium valproate and carbamazepine, antiepileptic drugs that are associated with a relatively low rate of adverse cutaneous reactions, should be added to the growing list of drugs that produce psoriasiform eruptions.","[['carbamazepine', 'psoriasiform eruptions'], ['Sodium valproate', 'psoriasiform eruptions']]","[['carbamazepine', 'psoriasiform eruptions'], ['Sodium valproate', 'psoriasiform eruptions'], ['carbamazepine', 'adverse cutaneous reactions']]"
Mannitol-induced ARF responds promptly to hemodialysis with rapid resolution of anuria and recovery of renal failure.,"[['Mannitol', 'ARF']]","[['Mannitol', 'ARF']]"
"We report four patients, three of whom first developed psoriasis and one who had an aggravation of the condition during treatment with interferon-alpha.","[['interferon-alpha', 'psoriasis']]","[['interferon-alpha', 'aggravation of psoriasis']]"
She was receiving phenytoin sodium 300 mg/day; carbamazepine 200 mg four times daily had been discontinued four days before admission because of leukopenia.,"[['carbamazepine', 'leukopenia'], ['phenytoin sodium', 'leukopenia']]","[['carbamazepine', 'leukopenia'], ['phenytoin sodium', 'leukopenia']]"
Introduction of etanercept was also clinically effective but followed by development of severe heart failure.,"[['etanercept', 'severe heart failure']]","[['etanercept','severe heart failure']]"
This case suggests the importance of careful observation for extramedullary relapse in patients who are treated with ATRA.,"[['ATRA', 'extramedullary relapse']]","[['ATRA', 'extramedullary relapse']]"
"She was placed on adjuvant Adriamycin (doxorubicin) chemotherapy, but 6 months later died of Adriamycin toxicity.","[['Adriamycin', 'Adriamycin toxicity'], ['Adriamycin', 'Adriamycin toxicity'], ['doxorubicin', 'Adriamycin toxicity'], ['Adriamycin', 'died'], ['Adriamycin', 'died'], ['doxorubicin', 'died']]","[['Adriamycin', 'Adriamycin toxicity'], ['doxorubicin', 'Adriamycin toxicity']]"
The gynecomastia regressed when the theophylline was discontinued.,"[['theophylline', 'gynecomastia']]","[['theophylline', 'gynecomastia']]"
This case demonstrates the value of DWI in evaluation and diagnosis of sub-acute toxic leukoencephalopathy in patients being treated with methotrexate.,"[['methotrexate', 'sub-acute toxic leukoencephalopathy']]","[['methotrexate','sub-acute toxic leukoencephalopathy']]"
OBJECTIVE: To report a case of a diffuse papular eruption following treatment of psoriasis with methotrexate injections.,"[['methotrexate', 'diffuse papular eruption']]","[['methotrexate', 'diffuse papular eruption']]"
Carbamazepine toxicity induced by clarithromycin coadministration in psychiatric patients.,"[['Carbamazepine', 'Carbamazepine toxicity'], ['clarithromycin', 'Carbamazepine toxicity']]","[['Carbamazepine', 'Carbamazepine toxicity'], ['clarithromycin', 'Carbamazepine toxicity']]"
We report a 71-year male with castration-resistant metastatic prostate cancer who was treated with weekly docetaxel for 12 weeks and developed significant eye irritation and dryness during treatment.,"[['docetaxel', 'eye irritation and dryness']]","[['docetaxel', 'eye irritation'], ['docetaxel', 'dryness']]"
Near fatal acute colchicine intoxication in a child.,"[['colchicine', 'colchicine intoxication'], ['colchicine', 'Near fatal']]","[['colchicine', 'colchicine intoxication']]"
Acute renal failure is a rare complication following the administration of intravenous immunoglobulin (IVIG).,"[['immunoglobulin', 'Acute renal failure']]","[['IVIG', 'Acute renal failure'], ['immunoglobulin', 'Acute renal failure']]"
"We report an allogeneic bone marrow transplant recipient who developed CMV infection refractory to sequential therapy with ganciclovir, foscarnet, and cidofovir.","[['cidofovir', 'CMV infection'], ['foscarnet', 'CMV infection'], ['ganciclovir', 'CMV infection']]","[['cidofovir', 'CMV infection'], ['foscarnet', 'CMV infection'], ['ganciclovir', 'CMV infection'], ['cidofovir', 'CMV infection']]"
"The possibility of phenytoin hypersensitivity reactions should be considered when patients receiving phenytoin have unusual symptoms, particularly fever, rash, and lymphadenopathy.","[['phenytoin', 'fever'], ['phenytoin', 'fever'], ['phenytoin', 'hypersensitivity reactions'], ['phenytoin', 'hypersensitivity reactions'], ['phenytoin', 'lymphadenopathy'], ['phenytoin', 'lymphadenopathy'], ['phenytoin', 'rash'], ['phenytoin', 'rash']]","[['phenytoin', 'fever'], ['phenytoin', 'rash'], ['phenytoin', 'hypersensitivity reactions']]"
Arrhythmias and cardiac arrest have been reported during amphotericin B administration but no effective technique has been described to prevent them.,"[['amphotericin B', 'Arrhythmias'], ['amphotericin B', 'cardiac arrest']]","[['amphotericin B', 'cardiac arrest'], ['amphotericin B', 'Arrhythmias']]"
Paradoxical precipitation of tonic seizures by lorazepam in a child with atypical absence seizures.,"[['lorazepam', 'Paradoxical precipitation of tonic seizures']]","[['lorazepam', 'tonic seizures']]"
"Cyclosporine is a potent inhibitor of simvastatin metabolism, and may therefore facilitate simvastatin-induced rhabdomyolysis.","[['Cyclosporine', 'rhabdomyolysis'], ['simvastatin', 'rhabdomyolysis']]","[['simvastatin', 'rhabdomyolysis'], ['cyclosporine', 'rhabdomyolysis']]"
Heparin-induced hyperkalemia.,"[['Heparin', 'hyperkalemia']]","[['Heparin', 'hyperkalemia']]"
"Thrombocytopenia with or without microangiopathy following quinine is often referred to as quinine ""hypersensitivity."" When schistocytes are present it is frequently termed ""quinine-associated TTP/HUS."" A severe deficiency of the vWF-cleaving protease, ADAMTS13, is associated with idiopathic TTP.","[['quinine', 'Thrombocytopenia'], ['quinine', 'TTP/HUS']]","[['quinine', 'hypersensitivity'], ['quinine', 'idiopathic TTP'], ['quinine', 'idiopathic TTP'], ['quinine','schistocytes'], ['quinine', 'hypersensitivity'], ['quinine', 'tTP/HUS'], ['quinine', 'tTP/HUS'], ['quinine', 'tTP/HUS'], ['quinine', 'tTP/HUS']]"
Disulfiram-like reactions with newer cephalosporins: cefmenoxime.,"[['cefmenoxime', 'Disulfiram-like reactions']]","[['cefmenoxime', 'Disulfiram-like reactions']]"
The patient's defects may be due to methimazole teratogenicity or could represent a previously undescribed syndrome affecting ectodermal structures.,"[['methimazole', 'teratogenicity']]","[['methimazole', 'defects'], ['methimazole', 'teratogenicity']]"
We report on a patient with renal artery stenosis who had only 1 kidney and in whom acute renal impairment developed with transient anuria after the administration of captopril.,"[['captopril', 'acute renal impairment'], ['captopril', 'transient anuria']]","[['captopril', 'acute renal impairment'], ['captopril', 'transient anuria']]"
A case of congestive heart failure in a child with Wilms' tumor treated Adriamycin is presented and discussed.,"[['Adriamycin', 'congestive heart failure']]","[['Adriamycin', 'congestive heart failure']]"
Bleomycin induced hyperpigmentation with yolk sac tumor.,"[['Bleomycin', 'hyperpigmentation']]","[['Bleomycin', 'hyperpigmentation'], ['Bleomycin', 'yolk sac tumor']]"
Traumatic late flap dehiscence and Enterobacter keratitis following LASIK.,"[['LASIK', 'Enterobacter keratitis'], ['LASIK', 'Traumatic late flap dehiscence']]","[['LASIK', 'Enterobacter keratitis'], ['LASIK', 'Traumatic late flap dehiscence']]"
This report describes a case of acute compromise of renal function associated with hypotension in a 7-year-old boy treated with the ACE inhibitor lisinopril and the ARB losartan.,"[['lisinopril', 'hypotension'], ['losartan', 'hypotension']]","[['lisinopril', 'hypotension'], ['losartan', 'hypotension'], ['lisinopril', 'acute compromise of renal function'], ['losartan', 'acute compromise of renal function']]"
Successful challenge with clozapine in a history of eosinophilia.,"[['clozapine', 'eosinophilia']]","[['clozapine', 'eosinophilia']]"
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.,"[['carbamazepine', 'carbamazepine toxicity'], ['ritonavir', 'carbamazepine toxicity'], ['saquinavir', 'carbamazepine toxicity'], ['carbamazepine', 'progressive ataxia'], ['ritonavir', 'progressive ataxia'], ['saquinavir', 'progressive ataxia']]","[['carbamazepine', 'progressive ataxia'], ['carbamazepine', 'carbamazepine toxicity']]"
"Three days after intravitreal injection of bevacizumab, acute ocular ischemic syndrome occurred.","[['bevacizumab', 'acute ocular ischemic syndrome']]","[['bevacizumab', 'acute ocular ischemic syndrome']]"
Case report: acute renal failure after administering intravenous immunoglobulin.,"[['immunoglobulin', 'acute renal failure']]","[['immunoglobulin', 'acute renal failure']]"
"During intravenous treatment with terlipressin for recurrent gastrointestinal (GI) bleeding, a 50-year-old male with no history of heart disease developed a newly prolonged QT interval and torsade de pointes.","[['terlipressin', 'prolonged QT interval'], ['terlipressin', 'torsade de pointes']]","[['terlipressin', 'prolonged QT interval'], ['terlipressin', 'torsade de pointes']]"
Hypoxia is a predisposing factor for premature ductal closure and often occurs after maternal indomethacin therapy.,"[['indomethacin', 'Hypoxia'], ['indomethacin', 'premature ductal closure']]","[['indomethacin', 'premature ductal closure'], ['indomethacin', 'Hypoxia']]"
DISCUSSION: This case shows that switching to zidovudine potentially can lead to a hyperlactatemia relapse.,"[['zidovudine', 'hyperlactatemia relapse']]","[['zidovudine', 'hyperlactatemia relapse']]"
CONCLUSION: There may be an association between raloxifene and the development of malignant mixed mesodermal tumor.,"[['raloxifene', 'malignant mixed mesodermal tumor']]","[['raloxifene','malignant mixed mesodermal tumor']]"
OBJECTIVE: Clozapine causes few extrapyramidal symptoms and is recommended as a treatment drug for severe tardive dyskinesia (TD).,"[['Clozapine', 'extrapyramidal symptoms']]","[['Clozapine', 'extrapyramidal symptoms']]"
Two weeks following rechallenge with alendronate sodium resulted in recurrence of his scleritis.,"[['alendronate sodium', 'scleritis']]","[['alendronate sodium','scleritis']]"
Corneal endothelial deposits associated with rifabutin use.,"[['rifabutin', 'Corneal endothelial deposits']]","[['rifabutin', 'Corneal endothelial deposits']]"
There have been several reported cases of omeprazole-induced AIN.,"[['omeprazole', 'AIN']]","[['omeprazole', 'AIN']]"
We report four cases of encephalopathy coincident with elevated aluminum levels as well as one patient who developed seizures while receiving continuous bladder irrigations with alum.,"[['alum', 'elevated aluminum levels'], ['alum', 'encephalopathy'], ['alum', 'seizures']]","[['aluminum', 'encephalopathy'], ['aluminum','seizures']]"
