input,explanations,gold_relations
PURPOSE: A case of carbamazepine-induced hyperammonemia is presented.,Explanation: Explanation: Explanation: A case of hyperammonemia was presented as a result of carbamazepine.</s></s></s>,"[['carbamazepine', 'hyperammonemia']]"
Adriamycin-induced cardiomyopathy aggravated by cis-platinum nephrotoxicity requiring dialysis.,"Explanation: Explanation: Explanation: Adriamycin induced cardiomyopathy and cis-platinum caused nephrotoxicity, which aggravated the condition and required dialysis.</s></s></s>","[['Adriamycin', 'cardiomyopathy'], ['cis-platinum', 'nephrotoxicity']]"
Complications of chemotherapy for a synovial sarcoma in an eight-year old boy included cisplatinum nephrotoxicity and adriamycin cardiotoxicity.,Explanation: Explanation: Explanation: Cisplatinum nephrotoxicity and adriamycin cardiotoxicity were the complications of chemotherapy for a synovial sarcoma in an eight-year old boy.</s></s></s>,"[['adriamycin', 'cardiotoxicity'], ['cisplatinum', 'nephrotoxicity']]"
"A 65-year-old female patient presented with jaundice followed 2 days later by severe dyspnea and tachypnea which worsened when patient was lying flat, 1 week after the fourth dose of adalimumab.","Explanation: Explanation: Explanation: Adalimumab caused jaundice, severe dyspnea, and tachypnea in a 65-year-old female patient.</s></s></s>","[['adalimumab', 'jaundice'], ['adalimumab', 'severe dyspnea'], ['adalimumab', 'tachypnea']]"
A case of acute respiratory failure due to diaphragmatic weakness following adalimumab therapy for psoriasis is described.,Explanation: Explanation: Explanation: Adalimumab therapy caused acute respiratory failure due to diaphragmatic weakness.</s></s></s>,"[['adalimumab', 'acute respiratory failure']]"
Acute bilateral phrenic neuropathy following treatment with adalimumab.,Explanation: Explanation: Explanation: Acute bilateral phrenic neuropathy was observed following treatment with adalimumab.</s></s></s>,"[['adalimumab', 'Acute bilateral phrenic neuropathy']]"
"The potential development of SJS/TEN, a severe life-threatening illness, emphasizes the need for judicious use of TMP-Sx and close monitoring and follow-up for patients who were given TMP-Sx for SSTIs.",Explanation: Explanation: Explanation: TMP-Sx has the potential to cause severe life-threatening illnesses such as SJS and TEN.</s></s></s>,"[['TMP-Sx', 'SJS'], ['TMP-Sx', 'TEN']]"
We report a case of Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) secondary to trimethoprim-sulfamethoxazole (TMP-Sx) therapy for presumed community-associated methicillin-resistant Staphylococcus aureus (CA-MRSA) infection.,Explanation: Explanation: Explanation: TMP-Sx therapy for CA-MRSA infection caused SJS/TEN in the reported case.</s></s></s>,"[['TMP-Sx', 'SJS'], ['trimethoprim-sulfamethoxazole', 'SJS'], ['TMP-Sx', 'Stevens-Johnson syndrome'], ['trimethoprim-sulfamethoxazole', 'Stevens-Johnson syndrome'], ['TMP-Sx', 'TEN'], ['trimethoprim-sulfamethoxazole', 'TEN'], ['TMP-Sx', 'toxic epidermal necrolysis'], ['trimethoprim-sulfamethoxazole', 'toxic epidermal necrolysis']]"
CONCLUSIONS: Spontaneous hemothorax is a rare phenomenon in conjunction with LMWH but should be considered in cases of acute respiratory distress following commencement of LMWH.,Explanation: Explanation: Explanation: Spontaneous hemothorax is a rare phenomenon associated with LMWH therapy.</s></s></s>,"[['LMWH', 'Spontaneous hemothorax']]"
"On day 4, following 3 doses of dalteparin, the patient developed acute respiratory distress attributable to a massive right hemothorax confirmed by computed tomography pulmonary angiography (CTPA) and intercostal drainage of 1500 mL of frank blood.",Explanation: Explanation: Explanation: Acute respiratory distress was attributed to 3 doses of dalteparin.</s></s></s>,"[['dalteparin', 'acute respiratory distress']]"
Spontaneous hemothorax following anticoagulation with low-molecular-weight heparin.,Explanation: Explanation: Explanation: Spontaneous hemothorax occurred in a patient who was anticoagulated with low-molecular-weight heparin.</s></s></s>,"[['heparin', 'Spontaneous hemothorax']]"
Acute ocular ischemic change may be associated with intravitreal injection of bevacizumab in patients with vascular compromised diabetic retinopathy and/or underlying stenosis of the carotid artery.,Explanation: Explanation: Explanation: Acute ocular ischemic change was associated with intravitreal injection of bevacizumab.</s></s></s>,"[['bevacizumab', 'Acute ocular ischemic change']]"
Acute vision loss after intravitreal injection of bevacizumab (avastin) associated with ocular ischemic syndrome.,Explanation: Explanation: Explanation: Acute vision loss and ocular ischemic syndrome were associated with intravitreal injection of bevacizumab (avastin).</s></s></s>,"[['avastin', 'Acute vision loss'], ['bevacizumab', 'Acute vision loss'], ['avastin', 'ocular ischemic syndrome'], ['bevacizumab', 'ocular ischemic syndrome']]"
AIM: To report a patient with diabetic rubeosis who suffered from acute retinal ischemic change and stroke after intravitreal injection of bevacizumab.,Explanation: Explanation: Explanation: Patient with diabetic rubeosis suffered from acute retinal ischemic change and stroke after intravitreal injection of bevacizumab.</s></s></s>,"[['bevacizumab', 'acute retinal ischemic change'], ['bevacizumab', 'stroke']]"
"CONCLUSIONS: Patients receiving intravitreal injections of bevacizumab should be evaluated for potential systemic risk factors such as carotid insufficiency, coagulopathy and poorly controlled diabetes mellitus.","Explanation: Explanation: Explanation: Intravitreal injections of bevacizumab may cause carotid insufficiency, coagulopathy and poorly controlled diabetes mellitus.</s></s></s>","[['bevacizumab', 'carotid insufficiency'], ['bevacizumab', 'coagulopathy'], ['bevacizumab', 'poorly controlled diabetes mellitus']]"
"Three days after intravitreal injection of bevacizumab, acute ocular ischemic syndrome occurred.",Explanation: Explanation: Explanation: Acute ocular ischemic syndrome occurred after intravitreal injection of bevacizumab.</s></s></s>,"[['bevacizumab', 'acute ocular ischemic syndrome']]"
"Three days after receiving intravitreal injection of bevacizumab (1.25 mg in 0.1 ml), he developed acute vision loss and change of consciousness.","Explanation: Explanation: Explanation: After receiving intravitreal injection of bevacizumab, the patient developed acute vision loss and change of consciousness.</s></s></s>","[['bevacizumab', 'acute vision loss'], ['bevacizumab', 'change of consciousness']]"
"Herein, we describe a patient with AIDS who presented to medical attention with pancytopenia 48 months postchemotherapy with etoposide, prednisone, vincristine, cyclophosphamide, doxorubicin, and rituximab (R-EPOCH) for diffuse large B-cell lymphoma.","Explanation: Explanation: Explanation: Pancytopenia occurred in a patient with AIDS 48 months postchemotherapy with etoposide, prednisone, vincristine, cyclophosphamide, doxorubicin, and rituximab (R-EPOCH) for diffuse large B-cell lymphoma.</s></s></s>","[['cyclophosphamide', 'pancytopenia'], ['doxorubicin', 'pancytopenia'], ['etoposide', 'pancytopenia'], ['prednisone', 'pancytopenia'], ['rituximab', 'pancytopenia'], ['vincristine', 'pancytopenia']]"
Favorable outcome of de novo hepatitis B infection after liver transplantation with lamivudine and adefovir therapy.,Explanation: Explanation: Explanation: Favorable outcome of de novo hepatitis B infection was reported after liver transplantation with lamivudine and adefovir therapy.</s></s></s>,"[['adefovir', 'hepatitis B infection'], ['lamivudine', 'hepatitis B infection']]"
Linezolid-associated acute interstitial nephritis and drug rash with eosinophilia and systemic symptoms (DRESS) syndrome.,"Explanation: Explanation: Explanation: Linezolid was associated with acute interstitial nephritis, DRESS, and drug rash with eosinophilia and systemic symptoms.</s></s></s>","[['Linezolid', 'acute interstitial nephritis'], ['Linezolid', 'DRESS'], ['Linezolid', 'drug rash with eosinophilia and systemic symptoms']]"
"On day 7 of linezolid treatment, the patient developed severe pruritus, macular rash, facial edema, eosinophilia, marked increase in serum creatinine level, and mild hepatitis.","Explanation: Explanation: Explanation: Linezolid treatment caused eosinophilia, facial edema, macular rash, marked increase in serum creatinine level, mild hepatitis and severe pruritus.</s></s></s>","[['linezolid', 'eosinophilia'], ['linezolid', 'facial edema'], ['linezolid', 'macular rash'], ['linezolid', 'marked increase in serum creatinine level'], ['linezolid', 'mild hepatitis'], ['linezolid', 'severe pruritus']]"
This case of linezolid-associated acute interstitial nephritis within the context of a drug rash with eosinophilia and systemic symptoms (DRESS) syndrome in a patient treated with linezolid raises concerns about the presumed renal safety of this drug.,Explanation: Explanation: Explanation: Linezolid was associated with acute interstitial nephritis and drug rash with eosinophilia and systemic symptoms (DRESS) syndrome.</s></s></s>,"[['linezolid', 'acute interstitial nephritis'], ['linezolid', 'acute interstitial nephritis'], ['linezolid', 'DRESS'], ['linezolid', 'DRESS'], ['linezolid', 'drug rash with eosinophilia and systemic symptoms'], ['linezolid', 'drug rash with eosinophilia and systemic symptoms']]"
Increased awareness is needed on the possible occurrence of LPD resembling gastric cancer in rheumatoid arthritis patients treated with MTX.,Explanation: Explanation: Explanation: Rheumatoid arthritis patients treated with MTX are prone to LPD resembling gastric cancer.</s></s></s>,"[['MTX', 'LPD']]"
Reversible methotrexate-associated lymphoproliferative disorder resembling advanced gastric cancer in a patient with rheumatoid arthritis.,Explanation: Explanation: Explanation: Methotrexate was associated with lymphoproliferative disorder resembling advanced gastric cancer in a patient with rheumatoid arthritis.</s></s></s>,"[['methotrexate', 'lymphoproliferative disorder']]"
She was diagnosed with Epstein-Barr virus-associated polymorphic lymphoproliferative disorder (LPD) due to immunodeficiency caused by MTX administration.,Explanation: Explanation: Explanation: MTX administration caused Epstein-Barr virus-associated polymorphic lymphoproliferative disorder (LPD) and immunodeficiency.</s></s></s>,"[['MTX', 'Epstein-Barr virus-associated polymorphic lymphoproliferative disorder'], ['MTX', 'immunodeficiency'], ['MTX', 'LPD']]"
"To our knowledge, this is the first case of spontaneous remission of MTX-associated gastric LPD after discontinuation of MTX therapy.",Explanation: Explanation: Explanation: MTX was associated with gastric LPD and its discontinuation led to spontaneous remission of the condition.</s></s></s>,"[['MTX', 'gastric LPD']]"
"However, he developed acute renal failure, hyperkalemia, and hyperuricemia 30 d after receiving the sorafenib treatment.","Explanation: Explanation: Explanation: Sorafenib caused acute renal failure, hyperkalemia, and hyperuricemia in the patient 30 days after treatment.</s></s></s>","[['sorafenib', 'acute renal failure'], ['sorafenib', 'hyperkalemia'], ['sorafenib', 'hyperuricemia']]"
Sorafenib induced tumor lysis syndrome in an advanced hepatocellular carcinoma patient.,Explanation: Explanation: Explanation: Sorafenib induced tumor lysis syndrome in an advanced hepatocellular carcinoma patient.</s></s></s>,"[['Sorafenib', 'tumor lysis syndrome']]"
Are nasal decongestants safer than rhinitis? A case of oxymetazoline-induced syncope.,Explanation: Explanation: Explanation: A case of oxymetazoline-induced syncope was reported.</s></s></s>,"[['oxymetazoline', 'syncope']]"
We report here a case of cardiovascular and neurological depression induced by oxymetalzoline in a toddler.,Explanation: Explanation: Explanation: Oxymetalzoline caused neurological depression in a toddler.</s></s></s>,"[['oxymetalzoline', 'neurological depression']]"
"Given that discontinuation of nitrofurantoin and introduction of methylprednisolon therapy significantly lowered liver enzyme levels, restoring most of them to normal, we concluded that this was probably the case of toxic liver damage caused by nitrofurantoin.","Explanation: Explanation: Explanation: Discontinuation of nitrofurantoin and introduction of methylprednisolon therapy lowered liver enzyme levels, indicating that nitrofurantoin caused toxic liver damage.</s></s></s>","[['nitrofurantoin', 'toxic liver damage']]"
Nitrofurantoin-induced acute liver damage in pregnancy.,Explanation: Explanation: Explanation: Nitrofurantoin caused acute liver damage during pregnancy.</s></s></s>,"[['Nitrofurantoin', 'acute liver damage']]"
A 40-year-old man with relapsing-remitting multiple sclerosis (MS) developed primary central nervous system lymphoma (PCNSL) after having received 21 doses of natalizumab monotherapy.,Explanation: Explanation: Explanation: Natalizumab monotherapy caused primary central nervous system lymphoma in a 40-year-old man with relapsing-remitting multiple sclerosis.</s></s></s>,"[['natalizumab', 'PCNSL'], ['natalizumab', 'primary central nervous system lymphoma']]"
Primary central nervous system lymphoma in a patient treated with natalizumab.,Explanation: Explanation: Explanation: Primary central nervous system lymphoma occurred in a patient treated with natalizumab.</s></s></s>,"[['natalizumab', 'Primary central nervous system lymphoma']]"
"The first patient is undergoing hemodialysis and, though responding to sunitinib, is having significant fatigue and hypertension.",Explanation: Explanation: Explanation: Sunitinib caused fatigue and hypertension in the first patient undergoing hemodialysis.</s></s></s>,"[['sunitinib', 'fatigue'], ['sunitinib', 'hypertension']]"
OBJECTIVE: To report a case of severe apnea in an infant exposed to lamotrigine through breast-feeding.,Explanation: Explanation: Explanation: Severe apnea was reported in an infant exposed to lamotrigine through breast-feeding.</s></s></s>,"[['lamotrigine', 'severe apnea']]"
Severe apnea in an infant exposed to lamotrigine in breast milk.,Explanation: Explanation: Explanation: Severe apnea occurred in an infant exposed to lamotrigine in breast milk.</s></s></s>,"[['lamotrigine', 'Severe apnea']]"
The Naranjo probability scale indicated a probable relationship between apnea and exposure to lamotrigine through breast-feeding in this infant.,Explanation: Explanation: Explanation: Exposure to lamotrigine through breast-feeding was indicated to be related to apnea in an infant.</s></s></s>,"[['lamotrigine', 'apnea']]"
"Although there have been numerous reports of effusions, none have provided complete pleural fluid analysis; therefore, we report 2 patients with dasatinib-induced pleural effusion with complete pleural fluid analysis.",Explanation: Explanation: Explanation: Dasatinib caused pleural effusion in two patients with complete pleural fluid analysis.</s></s></s>,"[['dasatinib', 'pleural effusion']]"
Dasatinib-induced pleural effusions: a lymphatic network disorder?,Explanation: Explanation: Explanation: Dasatinib induced pleural effusions in a lymphatic network disorder.</s></s></s>,"[['Dasatinib', 'pleural effusions']]"
"RESULTS: One case of recurrent primary peritoneal carcinoma previously treated with a carboplatin-based regimen, developed a platinum hypersensitivity.",Explanation: Explanation: Explanation: A case of recurrent primary peritoneal carcinoma developed platinum hypersensitivity after carboplatin-based regimen.</s></s></s>,"[['carboplatin', 'platinum hypersensitivity']]"
"One week after the initial-dose of adalimumab (160 mg), which was initiated due to an acute exacerbation of Crohn's disease, the patient developed a fulminant cardiomyopathy.",Explanation: Explanation: Explanation: Adalimumab caused fulminant cardiomyopathy in a patient with Crohn's disease.</s></s></s>,"[['adalimumab', 'fulminant cardiomyopathy']]"
Severe cardiomyopathy following treatment with the tumour necrosis factor-alpha inhibitor adalimumab for Crohn's disease.,Explanation: Explanation: Explanation: Severe cardiomyopathy was reported in a patient treated with adalimumab for Crohn's disease.</s></s></s>,"[['adalimumab', 'Severe cardiomyopathy']]"
Amikacin-induced type 5 Bartter-like syndrome with severe hypocalcemia.,Explanation: Explanation: Explanation: Amikacin induced type 5 Bartter-like syndrome with severe hypocalcemia.</s></s></s>,"[['Amikacin', 'severe hypocalcemia'], ['Amikacin', 'type 5 Bartter-like syndrome']]"
"Recovery of the tubular dysfunction took 15 days following cessation of the offending drug, Amikacin.",Explanation: Explanation: Explanation: Tubular dysfunction was caused by Amikacin and was recovered after 15 days of its cessation.</s></s></s>,"[['Amikacin', 'tubular dysfunction']]"
"We discuss a patient who developed severe renal tubular dysfunction secondary to short-term therapy with Amikacin, resulting in refractory hypokalemia, hypocalcemia, hypomagnesemia, metabolic alkalosis, and polyuria.","Explanation: Explanation: Explanation: Short-term therapy with Amikacin caused severe renal tubular dysfunction, resulting in hypocalcemia, hypomagnesemia, metabolic alkalosis, polyuria, refractory hypokalemia.</s></s></s>","[['Amikacin', 'hypocalcemia'], ['Amikacin', 'hypomagnesemia'], ['Amikacin', 'metabolic alkalosis'], ['Amikacin', 'polyuria'], ['Amikacin', 'refractory hypokalemia'], ['Amikacin', 'severe renal tubular dysfunction']]"
"Postoperatively, the first two patients treated with 1 to 2 cc of thrombin were slow to awaken; one had evidence of vasospasm by transcranial Doppler ultrasound studies and multiple infarcts on cranial computerized tomography, while the other had a moderate-sized frontal hematoma with intracranial hypertension.","Explanation: Explanation: Explanation: The first two patients treated with thrombin experienced multiple infarcts, slow to awaken, and vasospasm.</s></s></s>","[['thrombin', 'multiple infarcts'], ['thrombin', 'slow to awaken'], ['thrombin', 'vasospasm']]"
"Thrombin is highly effective for stopping intractable arterial hemorrhage during stereotactic brain biopsy; however, it is a vasospastic agent and may have been responsible for the cerebral infarctions in one patient.",Explanation: Explanation: Explanation: Thrombin was responsible for cerebral infarctions in one patient during stereotactic brain biopsy.</s></s></s>,"[['Thrombin', 'cerebral infarctions']]"
Ciprofloxacin-induced hemorrhagic vasculitis.,Explanation: Explanation: Explanation: Ciprofloxacin induced hemorrhagic vasculitis.</s></s></s>,"[['Ciprofloxacin', 'hemorrhagic vasculitis']]"
Ciprofloxacin-induced hemorrhagic vasculitis is a rare side effect.,Explanation: Explanation: Explanation: Ciprofloxacin caused a rare side effect of hemorrhagic vasculitis.</s></s></s>,"[['Ciprofloxacin', 'hemorrhagic vasculitis']]"
"Ciprofloxacin is among the standard treatments for infected ischemic ulcers; in the rare case of ciprofloxacin-induced hemorrhagic vasculitis, it might be interpreted as progression of infection, instead of a complication of the treatment, thus leading to faulty diagnosis and treatment.","Explanation: Explanation: Explanation: Ciprofloxacin induced hemorrhagic vasculitis in a rare case, leading to faulty diagnosis and treatment.</s></s></s>","[['ciprofloxacin', 'hemorrhagic vasculitis']]"
"In one patient the vasculitis resolved after termination of the ciprofloxacin therapy; in the other patient the ciprofloxacin-induced hemorrhagic vasculitis was superimposed on a severe forefoot infection, leading to progressive gangrene and a below-knee amputation.","Explanation: Explanation: Explanation: Ciprofloxacin caused a variety of side effects in two patients, including vasculitis, hemorrhagic vasculitis, severe forefoot infection, progressive gangrene, and below-knee amputation.</s></s></s>","[['ciprofloxacin', 'below-knee amputation'], ['ciprofloxacin', 'hemorrhagic vasculitis'], ['ciprofloxacin', 'progressive gangrene'], ['ciprofloxacin', 'severe forefoot infection'], ['ciprofloxacin', 'vasculitis']]"
"However, a recent post-marketing survey in Japan revealed that interstitial pneumonia occurred in 4 among approximately 2 000 Japanese patients treated with sorafenib.",Explanation: Explanation: Explanation: A post-marketing survey in Japan revealed that interstitial pneumonia occurred in 4 patients treated with sorafenib.</s></s></s>,"[['sorafenib', 'interstitial pneumonia']]"
Interstitial pneumonia probably associated with sorafenib treatment: An alert of an adverse event.,Explanation: Explanation: Explanation: Interstitial pneumonia was probably associated with sorafenib treatment.</s></s></s>,"[['sorafenib', 'Interstitial pneumonia']]"
"In this article, we describe a Japanese patient with severe interstitial pneumonia probably caused by sorafenib treatment for metastatic renal cell carcinoma.",Explanation: Explanation: Explanation: Sorafenib caused severe interstitial pneumonia in a Japanese patient with metastatic renal cell carcinoma.</s></s></s>,"[['sorafenib', 'severe interstitial pneumonia']]"
"Oncologists supervising future clinical trials for lung cancer should be alert to the fact that sorafenib can potentially induce serious interstitial lung disease, although this might depend on racial differences.","Explanation: Explanation: Explanation: Sorafenib can potentially induce serious interstitial lung disease, although this might depend on racial differences.</s></s></s>","[['sorafenib', 'interstitial lung disease']]"
Fatal gemcitabine-induced pulmonary toxicity in metastatic   gallbladder adenocarcinoma.,Explanation: Explanation: Explanation: Fatal pulmonary toxicity occurred in a patient with metastatic gallbladder adenocarcinoma due to gemcitabine therapy.</s></s></s>,"[['gemcitabine', 'pulmonary toxicity']]"
Gemcitabine-induced pulmonary toxicity is usually a dramatic condition.,"Explanation: Explanation: Explanation: Gemcitabine caused pulmonary toxicity, usually in a dramatic condition.</s></s></s>","[['Gemcitabine', 'pulmonary toxicity']]"
"In this report, we describe a fatal gemcitabine-induced pulmonary toxicity in a patient with gallbladder metastatic adenocarcinoma.",Explanation: Explanation: Explanation: Gemcitabine induced fatal pulmonary toxicity in a patient with gallbladder metastatic adenocarcinoma.</s></s></s>,"[['gemcitabine', 'pulmonary toxicity']]"
"He had hypokalemia (K 2.3 mmol/L) induced by licorice and also had received disopyramide for arrhythmia, bicalutamide for prostate cancer, and silodosin for prostate hypertrophy.",Explanation: Explanation: Explanation: Licorice induced hypokalemia in the patient.</s></s></s>,"[['licorice', 'hypokalemia']]"
"Therefore, although garenoxacin reportedly causes fewer adverse reactions for cardiac rhythms than third-generation quinolone antibiotics, one must be cautious of the interference of other drugs during hypokalemia in order to prevent TdP.","Explanation: Explanation: Explanation: Garenoxacin can cause cardiac rhythms and hypokalemia, and one must be cautious of the interference of other drugs to prevent TdP.</s></s></s>","[['garenoxacin', 'cardiac rhythms'], ['garenoxacin', 'hypokalemia']]"
"Torsades de Pointes induced by a combination of garenoxacin and disopyramide and other cytochrome P450, family 3, subfamily A polypeptide-4-influencing drugs during hypokalemia due to licorice.",Explanation: Explanation: Explanation: Torsades de Pointes was induced by a combination of garenoxacin and disopyramide due to hypokalemia caused by licorice.</s></s></s>,"[['disopyramide', 'Torsades de Pointes'], ['garenoxacin', 'Torsades de Pointes']]"
"We report an 82-year-old man who developed ventricular tachycardia and Torsades de Pointes (TdP) after oral administration of garenoxacin, a novel quinolone antibiotic agent that differs from the third-generation quinolones, for pneumonia.","Explanation: Explanation: Explanation: After oral administration of garenoxacin, an 82-year-old man developed ventricular tachycardia, Torsades de Pointes (TdP).</s></s></s>","[['garenoxacin', 'TdP'], ['garenoxacin', 'Torsades de Pointes'], ['garenoxacin', 'ventricular tachycardia']]"
"Of 371 patients treated with 8MOP, three (0.8%) developed an acute dermatitis in the PUVA-treated areas.",Explanation: Explanation: Explanation: Acute dermatitis occurred in 0.8% of patients treated with 8MOP.</s></s></s>,"[['8MOP', 'acute dermatitis']]"
Hepatotoxicity after high-dose methylprednisolone for demyelinating disease.,Explanation: Explanation: Explanation: Hepatotoxicity occurred after high-dose methylprednisolone for demyelinating disease.</s></s></s>,"[['methylprednisolone', 'Hepatotoxicity']]"
We observed 2 cases of hepatotoxicity after a high-dose methylprednisolone treatment of a demyelinating disease and evaluated the potential relationship in the light of available evidence.,Explanation: Explanation: Explanation: Two cases of hepatotoxicity were observed after high-dose methylprednisolone treatment of a demyelinating disease.</s></s></s>,"[['methylprednisolone', 'hepatotoxicity']]"
Colonic mucosal necrosis following administration of calcium polystryrene sulfonate (Kalimate) in a uremic patient.,Explanation: Explanation: Explanation: Colonic mucosal necrosis occurred in a uremic patient after administration of calcium polystryrene sulfonate (Kalimate).</s></s></s>,"[['calcium polystryrene sulfonate', 'Colonic mucosal necrosis'], ['Kalimate', 'Colonic mucosal necrosis']]"
Colonic necrosis is known as a rare complication following the administration of Kayexalate (sodium polystryrene sulfonate) in sorbitol.,Explanation: Explanation: Explanation: Colonic necrosis is known as a rare complication following the administration of Kayexalate (sodium polystryrene sulfonate) in sorbitol.</s></s></s>,"[['Kayexalate', 'Colonic necrosis'], ['sodium polystryrene sulfonate', 'Colonic necrosis']]"
"Two days after administration of Kalimate enema, he had profuse hematochezia, and a sigmoidoscopy showed diffuse colonic mucosal necrosis in the rectum and sigmoid colon.",Explanation: Explanation: Explanation: Kalimate caused colonic mucosal necrosis in the rectum and profuse hematochezia two days after administration.</s></s></s>,"[['Kalimate', 'colonic mucosal necrosis in the rectum'], ['Kalimate', 'profuse hematochezia']]"
"We report a rare case of colonic mucosal necrosis following Kalimate (calcium polystryrene sulfonate), an analogue of Kayexalate without sorbitol in a 34-yr-old man.","Explanation: Explanation: Explanation: Colonic mucosal necrosis was reported in a 34-yr-old man after taking Kalimate, an analogue of Kayexalate without sorbitol.</s></s></s>","[['calcium polystryrene sulfonate', 'colonic mucosal necrosis'], ['Kalimate', 'colonic mucosal necrosis'], ['Kayexalate', 'colonic mucosal necrosis']]"
Clozapine-induced tardive dyskinesia in schizophrenic patients taking clozapine as a first-line antipsychotic drug.,Explanation: Explanation: Explanation: Clozapine induced tardive dyskinesia in schizophrenic patients taking it as a first-line antipsychotic drug.</s></s></s>,"[['Clozapine', 'tardive dyskinesia']]"
"CONCLUSIONS: These results suggest that clozapine may cause TD; however, the prevalence is low and the severity is relatively mild, with no or mild self-reported discomfort.","Explanation: Explanation: Explanation: These results suggest that clozapine may cause TD and discomfort, with mild severity.</s></s></s>","[['clozapine', 'discomfort'], ['clozapine', 'TD']]"
"However, several case reports have suggested that clozapine could also cause TD.",Explanation: Explanation: Explanation: Several case reports suggested that clozapine could cause TD.</s></s></s>,"[['clozapine', 'TD']]"
OBJECTIVE: Clozapine causes few extrapyramidal symptoms and is recommended as a treatment drug for severe tardive dyskinesia (TD).,Explanation: Explanation: Explanation: Clozapine causes few extrapyramidal symptoms and is recommended as a treatment drug for severe tardive dyskinesia.</s></s></s>,"[['Clozapine', 'extrapyramidal symptoms']]"
"All-trans retinoic acid-induced focal myositis, synovitis, and mononeuritis.","Explanation: Explanation: Explanation: All-trans retinoic acid caused focal myositis, synovitis, and mononeuritis.</s></s></s>","[['All-trans retinoic acid', 'focal myositis'], ['All-trans retinoic acid', 'mononeuritis'], ['All-trans retinoic acid', 'synovitis']]"
"Here we report a patient with newly diagnosed acute promyelocytic leukemia who developed acute focal myositis, synovitis, and possible vasculitis, after receiving all-trans retinoic acid therapy.","Explanation: Explanation: Explanation: All-trans retinoic acid therapy caused acute focal myositis, synovitis, and possible vasculitis in a patient with acute promyelocytic leukemia.</s></s></s>","[['all-trans retinoic acid', 'acute focal myositis'], ['all-trans retinoic acid', 'possible vasculitis'], ['all-trans retinoic acid', 'synovitis']]"
"BACKGROUND: To assess the nature, incidence, and risk factors of retinopathy associated with pegylated interferon and ribavirin combination therapy in chronic hepatitis C patients.",Explanation: Explanation: Explanation: Retinopathy is a known side effect of pegylated interferon and ribavirin combination therapy.</s></s></s>,"[['pegylated interferon', 'retinopathy'], ['ribavirin', 'retinopathy']]"
CONCLUSION: Significant ocular complications such as an irreversible decrease of visual acuity may develop in patients treated with pegylated interferon.,"Explanation: Explanation: Explanation: Patients treated with pegylated interferon may experience significant ocular complications, such as an irreversible decrease of visual acuity.</s></s></s>","[['pegylated interferon', 'irreversible decrease of visual acuity'], ['pegylated interferon', 'ocular complications']]"
Retinopathy in hepatitis C patients due to combination therapy with pegylated interferon and ribavirin.,Explanation: Explanation: Explanation: Retinopathy was observed in hepatitis C patients due to combination therapy with pegylated interferon and ribavirin.</s></s></s>,"[['pegylated interferon', 'Retinopathy'], ['ribavirin', 'Retinopathy']]"
Administration of cisplatin in three patients with carboplatin hypersensitivity: is skin testing useful?,Explanation: Explanation: Explanation: Three patients with carboplatin hypersensitivity were administered cisplatin.</s></s></s>,"[['carboplatin', 'hypersensitivity']]"
"Hypersensitivity to carboplatin has been reported in up to 44% of patients receiving this antineoplastic agent, usually occurring after several courses of treatment.",Explanation: Explanation: Explanation: Hypersensitivity to carboplatin has been reported in up to 44% of patients receiving this antineoplastic agent.</s></s></s>,"[['carboplatin', 'Hypersensitivity']]"
Prick tests and intradermal tests with a series of dilutions of carboplatin and cisplatin were performed on three patients who had exhibited medium and severe hypersensitivity reactions to carboplatin.,Explanation: Explanation: Explanation: Three patients exhibited severe hypersensitivity reactions to carboplatin.</s></s></s>,"[['carboplatin', 'severe hypersensitivity']]"
"Aseptic meningitis, hemolytic anemia, hepatitis, and orthostatic hypotension in a patient treated with trimethoprim-sulfamethoxazole.","Explanation: Explanation: Explanation: Aseptic meningitis, hemolytic anemia, hepatitis, and orthostatic hypotension were seen in a patient treated with trimethoprim-sulfamethoxazole.</s></s></s>","[['sulfamethoxazole', 'Aseptic meningitis'], ['trimethoprim', 'Aseptic meningitis'], ['sulfamethoxazole', 'hemolytic anemia'], ['trimethoprim', 'hemolytic anemia'], ['sulfamethoxazole', 'hepatitis'], ['trimethoprim', 'hepatitis'], ['sulfamethoxazole', 'orthostatic hypotension'], ['trimethoprim', 'orthostatic hypotension']]"
"CONCLUSION: A 37-year-old African- American man with G6PD deficiency developed hemolytic anemia, hepatitis, orthostatic hypotension, and aseptic meningitis simultaneously after using trimethoprim-sulfamethoxazole.","Explanation: Explanation: Explanation: A 37-year-old African- American man with G6PD deficiency developed hemolytic anemia, hepatitis, orthostatic hypotension, and aseptic meningitis simultaneously after using trimethoprim-sulfamethoxazole.</s></s></s>","[['sulfamethoxazole', 'aseptic meningitis'], ['trimethoprim', 'aseptic meningitis'], ['sulfamethoxazole', 'hemolytic anemia'], ['trimethoprim', 'hemolytic anemia'], ['sulfamethoxazole', 'hepatitis'], ['trimethoprim', 'hepatitis'], ['sulfamethoxazole', 'orthostatic hypotension'], ['trimethoprim', 'orthostatic hypotension']]"
