input,relations,prefix,gold_relations
it is concluded that simultaneous administration of ciprofloxacin and tazobactam/piperacillin may cause marked thrombocytosis.,"[['ciprofloxacin', 'thrombocytosis'], ['tazobactam/piperacillin', 'thrombocytosis'], ['tazobactam/piperacillin', 'thrombocytosis']]",ADE,"[['ciprofloxacin', 'thrombocytosis'], ['piperacillin', 'thrombocytosis'], ['tazobactam', 'thrombocytosis']]"
it is hoped that this case report creates awareness that ofloxacin-induced toxic epidermal necrolysis is possible.,"[['ofloxacin', 'toxic epidermal necrolysis']]",ADE,"[['ofloxacin', 'toxic epidermal necrolysis']]"
it is suggested therefore that methotrexate be added to the list of agents capable of inducing diffuse interstitial pulmonary fibrosis.,"[['methotrexate', 'diffuse interstitial pulmonary fibrosis']]",ADE,"[['methotrexate', 'diffuse interstitial pulmonary fibrosis']]"
it is the first case of ciprofloxacin-induced vbds successfully treated with tacrolimus.,"[['ciprofloxacin', 'vbds']]",ADE,"[['ciprofloxacin', 'vbds']]"
"it was highly suspected that finasteride was associated with the anterior subcapsular opacity on the lens, and the patient therefore discontinued use of finasteride.","[['finasteride', 'anterior subcapsular opacity'], ['finasteride', 'anterior subcapsular opacity']]",ADE,"[['finasteride', 'anterior subcapsular opacity on the lens'], ['finasteride', 'anterior subcapsular opacity on the lens']]"
"k bipolar manic-depressive patient, developed while on lithium prophylaxis, akathisia at therapeutic serum lithium levels and subsequently bucco-linguo-masticatory dyskinesia.","[['lithium', 'akathisia'], ['lithium', 'bucco-linguo-masticatory dyskinesia']]",ADE,"[['lithium', 'akathisia'], ['lithium', 'bucco-linguo-masticatory dyskinesia']]"
ketanserin in the treatment of protamine-induced pulmonary hypertension.,"[['protamine', 'pulmonary hypertension']]",ADE,"[['protamine', 'pulmonary hypertension']]"
late development of diabetes mellitus after interferon-alfa and ribavirin therapy for chronic hepatitis c: a case report.,"[['interferon-alfa', 'diabetes mellitus'], ['ribavirin', 'diabetes mellitus']]",ADE,"[['interferon-alfa', 'diabetes mellitus'], ['ribavirin', 'diabetes mellitus']]"
leflunomide-associated weight loss in rheumatoid arthritis.,"[['leflunomide', 'weight loss']]",ADE,"[['leflunomide', 'weight loss']]"
levofloxacin induced polymorphic ventricular tachycardia with normal qt interval.,"[['levofloxacin', 'polymorphic ventricular tachycardia']]",ADE,"[['levofloxacin', 'polymorphic ventricular tachycardia']]"
life-threatening alterations in heart rate after the use of adenosine in atrial flutter.,"[['adenosine', 'heart rate']]",ADE,"[['adenosine', 'alterations in heart rate']]"
life-threatening anaphylactoid reaction to amifostine used with concurrent chemoradiotherapy for nasopharyngeal cancer in a patient with dermatomyositis: a case report with literature review.,"[['amifostine', 'anaphylactoid reaction']]",ADE,"[['amifostine', 'anaphylactoid reaction']]"
linezolid-associated acute interstitial nephritis and drug rash with eosinophilia and systemic symptoms (dress) syndrome.,"[['linezolid', 'acute interstitial nephritis'], ['linezolid', 'drug rash with eosinophilia and systemic symptoms (dress) syndrome'], ['linezolid', 'drug rash with eosinophilia and systemic symptoms (dress) syndrome']]",ADE,"[['linezolid', 'acute interstitial nephritis'], ['linezolid', 'dress'], ['linezolid', 'drug rash with eosinophilia and systemic symptoms']]"
lipoid pneumonia: a silent complication of mineral oil aspiration.,"[['mineral oil', 'lipoid pneumonia']]",ADE,"[['mineral oil', 'lipoid pneumonia']]"
livedo reticularis associated with interferon alpha therapy in two melanoma patients.,"[['interferon alpha', 'livedo reticularis']]",ADE,"[['interferon alpha', 'livedo reticularis']]"
liver disease induced by perhexiline maleate.,"[['perhexiline maleate', 'liver disease']]",ADE,"[['perhexiline maleate', 'liver disease']]"
lower extremity arterial insufficiency after long-term methysergide maleate therapy.,"[['methysergide maleate', 'lower extremity arterial insufficiency']]",ADE,"[['methysergide maleate', 'arterial insufficiency']]"
"major points illustrated are, (1) occurrence of hit with any dose or form of heparin; (2) misperceptions on the diagnostic criteria; (3) correct (thrombin inhibitors) and incorrect (platelet transfusions and warfarin) management; (4) influence of management strategy on clinical outcomes; (5) severity of the syndrome; and (6) potential for both anamnestic response to heparin and disappearance of hit antibodies over time.","[['heparin', 'hit']]",ADE,"[['heparin', 'hit']]"
management and successful desensitization in methotrexate-induced anaphylaxis.,"[['methotrexate', 'anaphylaxis']]",ADE,"[['methotrexate', 'anaphylaxis']]"
managing cardiovascular collapse in severe flecainide overdose without recourse to extracorporeal therapy.,"[['flecainide', 'cardiovascular collapse']]",ADE,"[['flecainide', 'cardiovascular collapse']]"
marked hyperkalemia was observed during and immediately after an infusion of arginine monohydrochloride in two patients with severe hepatic disease and moderate renal insufficiency.,"[['arginine monohydrochloride', 'hyperkalemia']]",ADE,"[['arginine monohydrochloride', 'marked hyperkalemia']]"
mechanisms and triggering factors of hypoglycaemia induced by mefloquine and some other anti-malarial quinine analogues are discussed.,"[['mefloquine', 'hypoglycaemia']]",ADE,"[['mefloquine', 'hypoglycaemia']]"
mesalamine may cause hypersensitivity pneumonitis in patients with crohn's disease.,"[['mesalamine', 'hypersensitivity pneumonitis']]",ADE,"[['mesalamine', 'hypersensitivity pneumonitis']]"
metformin-associated lactic acidosis precipitated by diarrhea.,"[['metformin', 'lactic acidosis']]",ADE,"[['metformin', 'lactic acidosis']]"
methemoglobinemia: an occupational hazard of phenylpropanolamine production.,"[['phenylpropanolamine', 'methemoglobinemia']]",ADE,"[['phenylpropanolamine', 'methemoglobinemia']]"
"method: we describe two patients who presented with diabetic ketoacidosis after treatment with quetiapine and risperidone, respectively.","[['quetiapine', 'diabetic ketoacidosis'], ['risperidone', 'diabetic ketoacidosis']]",ADE,"[['quetiapine', 'diabetic ketoacidosis'], ['risperidone', 'diabetic ketoacidosis']]"
methods: repeated blood samples were drawn in a patient with severe acyclovir overdose who developed coma and nonoliguric renal failure.,"[['acyclovir', 'coma'], ['acyclovir', 'nonoliguric renal failure']]",ADE,"[['acyclovir', 'coma'], ['acyclovir', 'nonoliguric renal failure']]"
"methods: the patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.","[['insulin', 'angioedema'], ['insulin', 'angioedema'], ['insulin', 'urticaria'], ['insulin', 'urticaria'], ['insulin', 'wheezing'], ['insulin', 'wheezing']]",ADE,"[['insulin', 'angioedema'], ['insulin', 'angioedema'], ['insulin', 'severe urticaria'], ['insulin', 'severe urticaria'], ['insulin', 'wheezing'], ['insulin', 'wheezing']]"
methods: three patients with apparent itraconazole-induced liver injury were studied.,"[['itraconazole', 'liver injury']]",ADE,"[['itraconazole', 'liver injury']]"
methods: we report two cases of pseudoporphyria caused by naproxen and oxaprozin.,"[['naproxen', 'pseudoporphyria'], ['oxaprozin', 'pseudoporphyria']]",ADE,"[['naproxen', 'pseudoporphyria'], ['oxaprozin', 'pseudoporphyria']]"
"methotrexate-associated nephropathy is a rare complication in pediatric oncology, and a review of the literature suggests that exposure to nephrotoxic agents may be a significant but perhaps underrecognized risk factor for its development.","[['methotrexate', 'nephropathy']]",ADE,"[['methotrexate', 'nephropathy']]"
"metoclopramide-induced parkinsonism is not rare, and appropriate dose reduction in patients with renal failure will help reduce the incidence of this morbidity.","[['metoclopramide', 'parkinsonism']]",ADE,"[['metoclopramide', 'parkinsonism']]"
"mineral oil, a hydrocarbon, may not elicit a normal protective cough reflex and may impair mucociliary transport.","[['mineral oil', 'mucociliary transport']]",ADE,"[['mineral oil', 'impair mucociliary transport']]"
multifocal inflammatory leukoencephalopathy associated with levamisole therapy.,"[['levamisole', 'multifocal inflammatory leukoencephalopathy']]",ADE,"[['levamisole', 'multifocal inflammatory leukoencephalopathy']]"
myocardial ischemia associated with high-dose carmustine infusion.,"[['carmustine', 'myocardial ischemia']]",ADE,"[['carmustine', 'myocardial ischemia']]"
nabumetone-associated interstitial nephritis.,"[['nabumetone', 'interstitial nephritis']]",ADE,"[['nabumetone', 'interstitial nephritis']]"
naproxen is a commonly used nonsteroidal anti-inflammatory drug (nsaid) whose side effects include tinnitus and transient hearing loss.,"[['naproxen', 'tinnitus'], ['naproxen', 'transient hearing loss']]",ADE,"[['naproxen', 'tinnitus'], ['naproxen', 'transient hearing loss']]"
neonatal mydriasis: intravenous lidocaine adverse reaction.,"[['lidocaine', 'neonatal mydriasis']]",ADE,"[['lidocaine', 'mydriasis']]"
nephrotic syndrome associated with interferon-beta-1b therapy for multiple sclerosis.,"[['interferon-beta-1b', 'nephrotic syndrome']]",ADE,"[['interferon-beta-1b', 'nephrotic syndrome']]"
neurologic degeneration associated with nitrous oxide anesthesia in patients with vitamin b12 deficiency.,"[['nitrous oxide', 'neurologic degeneration']]",ADE,"[['nitrous oxide', 'neurologic degeneration']]"
"neurologic symptoms resolved after stopping cap for 4 weeks in patient a, with no recurrence after reinitiating cap alone at 2000 mg/m2.","[['cap', 'neurologic symptoms'], ['cap', 'neurologic symptoms']]",ADE,"[['cap', 'neurologic symptoms'], ['cap', 'neurologic symptoms']]"
neurological side effects in two patients receiving gold injections for rheumatoid arthritis.,"[['gold', 'neurological side effects']]",ADE,"[['gold', 'neurological side effects']]"
"nine eyes from 6 patients, 74 years to 90 years of age, referred by ophthalmologists for repair of cicatricial entropion after at least 2 years of twice-a-day application of dipivefrin.","[['dipivefrin', 'cicatricial entropion']]",ADE,"[['dipivefrin', 'cicatricial entropion']]"
nonoliguric acute renal failure after captopril therapy.,"[['captopril', 'nonoliguric acute renal failure']]",ADE,"[['captopril', 'nonoliguric acute renal failure']]"
"norethisterone in these 69 pregnancies accounted for 33.3% (5 of 15) cases of clitoral hypertrophy diagnosed in 100,756 consecutive births.","[['norethisterone', 'clitoral hypertrophy']]",ADE,"[['norethisterone', 'clitoral hypertrophy']]"
objective: the aim of this paper is to describe a case of increased libido during fluvoxamine therapy.,"[['fluvoxamine', 'increased libido']]",ADE,"[['fluvoxamine', 'increased libido']]"
objective: to describe a patient with ifosfamide-induced nonconvulsive status epilepticus.,"[['ifosfamide', 'nonconvulsive status epilepticus']]",ADE,"[['ifosfamide', 'nonconvulsive status epilepticus']]"
objective: to describe a probable case of transient global amnesia caused by propafenone.,"[['propafenone', 'transient global amnesia']]",ADE,"[['propafenone', 'transient global amnesia']]"
objective: to describe the development of valproate-related reproductive endocrine disorders in women with epilepsy.,"[['valproate', 'reproductive endocrine disorders']]",ADE,"[['valproate', 'reproductive endocrine disorders']]"
objective: to report a case of a diffuse papular eruption following treatment of psoriasis with methotrexate injections.,"[['methotrexate', 'diffuse papular eruption']]",ADE,"[['methotrexate', 'diffuse papular eruption']]"
objective: to report a case of angioedema associated with losartan administration.,"[['losartan', 'angioedema']]",ADE,"[['losartan', 'angioedema']]"
"objective: to report a case of serotonin syndrome associated with interaction between fentanyl and citalopram, as evidenced by medication history, clinical features and reversal following discontinuation of fentanyl.","[['citalopram', 'serotonin syndrome'], ['fentanyl', 'serotonin syndrome'], ['fentanyl', 'serotonin syndrome']]",ADE,"[['citalopram', 'serotonin syndrome'], ['fentanyl', 'serotonin syndrome'], ['fentanyl', 'serotonin syndrome']]"
objective: to report on the possible development of serotonin syndrome in a patient receiving clomipramine after clozapine was withdrawn from the treatment regimen.,"[['clomipramine', 'serotonin syndrome'], ['clozapine', 'serotonin syndrome']]",ADE,"[['clomipramine', 'serotonin syndrome'], ['clozapine', 'serotonin syndrome']]"
objective: to report teicoplanin-related neutropenia that developed after an episode of neutropenia induced by vancomycin therapy.,"[['teicoplanin', 'neutropenia'], ['vancomycin', 'neutropenia']]",ADE,"[['teicoplanin', 'neutropenia'], ['vancomycin', 'neutropenia']]"
olanzapine-associated neuroleptic malignant syndrome.,"[['olanzapine', 'neuroleptic malignant syndrome']]",ADE,"[['olanzapine', 'neuroleptic malignant syndrome']]"
"on day 4, following 3 doses of dalteparin, the patient developed acute respiratory distress attributable to a massive right hemothorax confirmed by computed tomography pulmonary angiography (ctpa) and intercostal drainage of 1500 ml of frank blood.","[['dalteparin', 'acute respiratory distress']]",ADE,"[['dalteparin', 'acute respiratory distress']]"
"on the other hand, aspirin may have promoted the enlargement of spontaneous hemorrhage from meningioma.","[['aspirin', 'hemorrhage']]",ADE,"[['aspirin', 'enlargement of spontaneous hemorrhage']]"
one case of tacrolimus-induced hepatic vod developing after lung transplantation (lt) has been recently reported.,"[['tacrolimus', 'hepatic vod']]",ADE,"[['tacrolimus', 'hepatic vod']]"
"one of the side-effects of intravitreal triamcinolone is the development of cataract, and it is known that cataract extraction can exacerbate macular degeneration.","[['triamcinolone', 'cataract']]",ADE,"[['triamcinolone', 'cataract']]"
one other patient on digoxin stopped taking it and developed cardiomyopathy.,"[['digoxin', 'cardiomyopathy']]",ADE,"[['digoxin', 'cardiomyopathy']]"
one patient developed large intramural esophageal hematoma as a complication of heparin therapy.,"[['heparin', 'large intramural esophageal hematoma']]",ADE,"[['heparin', 'large intramural esophageal hematoma']]"
"one patient had a lower average heart rate and two patients had lower average mean blood pressure values during propranolol treatment, none of which was clinically significant.","[['propranolol', 'lower average heart rate'], ['propranolol', 'lower average mean blood pressure values']]",ADE,"[['propranolol', 'lower average heart rate'], ['propranolol', 'lower average mean blood pressure']]"
"one patient suffered coronary artery vasospasm, attributed to the use of topical 1:1000 epinephrine during surgery.","[['epinephrine', 'coronary artery vasospasm']]",ADE,"[['epinephrine', 'coronary artery vasospasm']]"
one patient with systemic lupus erythematosus developed erythema multiforme after taking griseofulvin.,"[['griseofulvin', 'erythema multiforme']]",ADE,"[['griseofulvin', 'erythema multiforme']]"
"only after three subsequent episodes of severe, symptomatic thrombocytopenia over the next four weeks did he say, upon repeat questioning, that he had continued to take quinine for night leg cramps.","[['quinine', 'thrombocytopenia']]",ADE,"[['quinine', 'thrombocytopenia']]"
only one case of a generalized maculopapular rash with enoxaparin has been reported in europe.,"[['enoxaparin', 'maculopapular rash']]",ADE,"[['enoxaparin', 'generalized maculopapular rash']]"
only one case of severe symptomatic hepatitis occurring after pulse therapy with itraconazole for onychomycosis and requiring transplantation has been reported previously.,"[['itraconazole', 'severe symptomatic hepatitis']]",ADE,"[['itraconazole', 'severe symptomatic hepatitis']]"
optic neuropathy associated with penicillamine therapy in a patient with rheumatoid arthritis.,"[['penicillamine', 'optic neuropathy']]",ADE,"[['penicillamine', 'optic neuropathy']]"
"our report suggested that cbdca hypersensitivity was correlated with the total dose of previously administered platinum agents and that cbdca should be excluded in patients who have received multiple platinum-based chemotherapy, even in platinum-sensitive cases, because cbdca hypersensitivity can occur even with low-dose cbdca administration.","[['cbdca', 'hypersensitivity'], ['cbdca', 'hypersensitivity'], ['cbdca', 'hypersensitivity'], ['cbdca', 'hypersensitivity']]",ADE,"[['cbdca', 'hypersensitivity'], ['cbdca', 'hypersensitivity'], ['cbdca', 'hypersensitivity'], ['cbdca', 'hypersensitivity']]"
"our review of 194 ra patients and 38 psa patients receiving mtx has identified four ra patients and one psa patient with mtx-induced pneumonitis, giving a prevalence of 2.1% and 0.03%, respectively.","[['mtx', 'pneumonitis']]",ADE,"[['mtx', 'pneumonitis']]"
papillary necrosis associated with the hiv protease inhibitor indinavir.,"[['indinavir', 'papillary necrosis']]",ADE,"[['indinavir', 'papillary necrosis']]"
paraplegia following intrathecal cytosine arabinoside.,"[['cytosine arabinoside', 'paraplegia']]",ADE,"[['cytosine arabinoside', 'paraplegia']]"
parenteral-verapamil-induced sustained hypotension.,"[['verapamil', 'sustained hypotension']]",ADE,"[['verapamil', 'sustained hypotension']]"
patients should be informed about the risk of osteonecrosis when taking dexamethasone as an antiemetic drug.,"[['dexamethasone', 'osteonecrosis']]",ADE,"[['dexamethasone', 'osteonecrosis']]"
peculiar nail-changes in a 70-year-old woman with rheumatoid arthritis occurring after approximately 1 year of penicillamine treatment are described.,"[['penicillamine', 'peculiar nail-changes']]",ADE,"[['penicillamine', 'nail-changes']]"
pemphigus foliaceus induced by rifampicin.,"[['rifampicin', 'pemphigus foliaceus']]",ADE,"[['rifampicin', 'pemphigus foliaceus']]"
peripheral nerve dysfunction is a potentially serious complication of high-dose cytosine arabinoside.,"[['cytosine arabinoside', 'peripheral nerve dysfunction']]",ADE,"[['cytosine arabinoside', 'peripheral nerve dysfunction']]"
peripheral nervous system disturbances caused by cytosine arabinoside have rarely been reported.,"[['cytosine arabinoside', 'peripheral nervous system disturbances']]",ADE,"[['cytosine arabinoside', 'peripheral nervous system disturbances']]"
persistent hypoglycemia in a patient with diabetes taking etanercept for the treatment of psoriasis.,"[['etanercept', 'hypoglycemia']]",ADE,"[['etanercept', 'persistent hypoglycemia']]"
pharmacokinetic determinants of 6-mercaptopurine myelotoxicity and therapeutic failure in children with acute lymphoblastic leukemia.,"[['6-mercaptopurine', 'myelotoxicity']]",ADE,"[['6-mercaptopurine', 'myelotoxicity']]"
photo-onycholysis caused by olanzapine and aripiprazole.,"[['aripiprazole', 'photo-onycholysis'], ['olanzapine', 'photo-onycholysis']]",ADE,"[['aripiprazole', 'photo-onycholysis'], ['olanzapine', 'photo-onycholysis']]"
physicians should be aware of the potential for the development of rs among children who are receiving long-term aspirin therapy for the treatment of systemic inflammatory illnesses.,"[['aspirin', 'rs']]",ADE,"[['aspirin', 'rs']]"
physicians who use sulfasalazine to treat patients with inflammatory bowel disease should be aware of the signs of sulfasalazine-induced lupus syndrome.,"[['sulfasalazine', 'lupus syndrome']]",ADE,"[['sulfasalazine', 'lupus syndrome']]"
possible mechanisms for damage to the urothelium by ketamine are suggested.,"[['ketamine', 'urothelium']]",ADE,"[['ketamine', 'damage to the urothelium']]"
postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,"[['alendronate sodium', 'hypocalcemic tetany'], ['fleet phospho-soda', 'hypocalcemic tetany']]",ADE,"[['alendronate sodium', 'hypocalcemic tetany'], ['fleet phospho-soda', 'hypocalcemic tetany']]"
potential mechanisms regarding the pathophysiology of lithium-associated cdi are discussed.,"[['lithium', 'cdi']]",ADE,"[['lithium', 'cdi']]"
prior neurologic illness or cns insult of any kind is known to increase the vulnerability to neurotoxicity of lithium.,"[['lithium', 'neurotoxicity']]",ADE,"[['lithium', 'neurotoxicity']]"
progressive pulmonary fibrosis complicating cyclophosphamide therapy.,"[['cyclophosphamide', 'progressive pulmonary fibrosis']]",ADE,"[['cyclophosphamide', 'progressive pulmonary fibrosis']]"
prominent positive u waves appearing with high-dose intravenous phenylephrine.,"[['phenylephrine', 'prominent positive u waves']]",ADE,"[['phenylephrine', 'positive u waves']]"
propecia-associated bilateral cataract.,"[['propecia', 'bilateral cataract']]",ADE,"[['propecia', 'bilateral cataract']]"
propylthiouracil-induced cutaneous vasculitis.,"[['propylthiouracil', 'vasculitis']]",ADE,"[['propylthiouracil', 'cutaneous vasculitis']]"
protamine-induced fatal anaphylaxis.,"[['protamine', 'fatal anaphylaxis']]",ADE,"[['protamine', 'fatal anaphylaxis']]"
psoriasis-like skin reaction in a patient with rheumatoid arthritis after sulphasalazine therapy.,"[['sulphasalazine', 'psoriasis-like skin reaction']]",ADE,"[['sulphasalazine', 'psoriasis-like skin reaction']]"
psychosis in a 12-year-old hiv-positive girl with an increased serum concentration of efavirenz.,"[['efavirenz', 'psychosis']]",ADE,"[['efavirenz', 'psychosis']]"
pulmonary toxicity associated with erlotinib.,"[['erlotinib', 'pulmonary toxicity']]",ADE,"[['erlotinib', 'pulmonary toxicity']]"
pulmonary toxicity secondary to procarbazine.,"[['procarbazine', 'pulmonary toxicity']]",ADE,"[['procarbazine', 'pulmonary toxicity']]"
purpose: the occurrence of myoclonus associated with continuous i.v. infusion of dobutamine in a patient with end-stage renal disease (esrd) is described.,"[['dobutamine', 'myoclonus']]",ADE,"[['dobutamine', 'myoclonus']]"
purpose: to report a case of angiographically documented cystoid macula edema occurring after switching a pseudophakic patient from latanoprost to bimatoprost.,"[['bimatoprost', 'cystoid macula edema'], ['latanoprost', 'cystoid macula edema']]",ADE,"[['bimatoprost', 'cystoid macula edema'], ['latanoprost', 'cystoid macula edema']]"
purpose: to report a case of bilateral anterior uveitis associated with ovulation induction therapy using clomiphene citrate.,"[['clomiphene citrate', 'bilateral anterior uveitis']]",ADE,"[['clomiphene citrate', 'bilateral anterior uveitis']]"
purpose: to report a case of nodular scleritis following alendronate sodium.,"[['alendronate sodium', 'nodular scleritis']]",ADE,"[['alendronate sodium', 'nodular scleritis']]"
purpose: we report an unusual paradoxical effect of brimonidine.,"[['brimonidine', 'paradoxical effect']]",ADE,"[['brimonidine', 'paradoxical effect']]"
quetiapine-induced leucopenia and thrombocytopenia.,"[['quetiapine', 'leucopenia'], ['quetiapine', 'thrombocytopenia']]",ADE,"[['quetiapine', 'leucopenia'], ['quetiapine', 'thrombocytopenia']]"
quetiapine-induced myoclonus.,"[['quetiapine', 'myoclonus']]",ADE,"[['quetiapine', 'myoclonus']]"
"radiation recall from gemcitabine is rare, but can potentially arise in any site that has been previously irradiated.","[['gemcitabine', 'radiation recall']]",ADE,"[['gemcitabine', 'radiation recall']]"
radiologic recognition of adriamycin cardiotoxicity.,"[['adriamycin', 'cardiotoxicity']]",ADE,"[['adriamycin', 'cardiotoxicity']]"
rapid identification of speech loss linked to fk506 may be important because reduction or cessation of the drug may be associated with reverse of speech loss.,"[['fk506', 'speech loss']]",ADE,"[['fk506', 'speech loss']]"
rapidly developing hyperglycemia during treatment with olanzapine.,"[['olanzapine', 'hyperglycemia']]",ADE,"[['olanzapine', 'hyperglycemia']]"
"recovery of the tubular dysfunction took 15 days following cessation of the offending drug, amikacin.","[['amikacin', 'tubular dysfunction']]",ADE,"[['amikacin', 'tubular dysfunction']]"
reinstitution of penicillamine treatment caused a recurrence thus proving a causal relationship between penicillamine and the described nail-changes.,"[['penicillamine', 'nail-changes']]",ADE,"[['penicillamine', 'nail-changes']]"
renal failure associated with acetazolamide therapy for glaucoma.,"[['acetazolamide', 'renal failure']]",ADE,"[['acetazolamide', 'renal failure']]"
"renal failure is a rare complication associated with the use of rifampicin for the treatment of tuberculosis, usually occurring well into the course of therapy.","[['rifampicin', 'renal failure']]",ADE,"[['rifampicin', 'renal failure']]"
renal tubular acidosis secondary to fk506 in living donor liver transplantation: a case report.,"[['fk506', 'renal tubular acidosis']]",ADE,"[['fk506', 'renal tubular acidosis']]"
"replicate brain magnetic resonance imaging examinations after six weeks and 11 months of penicillamine therapy documented the development of new brain lesions during this period, while liver biopsy specimen data disclosed that excellent hepatic decoppering had occurred.","[['penicillamine', 'brain lesions']]",ADE,"[['penicillamine', 'brain lesions']]"
restless legs syndrome may thus be an adverse effect of ifn alpha treatment.,"[['ifn alpha', 'restless legs syndrome']]",ADE,"[['ifn alpha', 'restless legs syndrome']]"
"results: brimonidine was observed to cause iop elevation, confirmed on rechallenge, scoring 8 (strong probability) on an adverse drug reaction probability score.","[['brimonidine', 'iop elevation']]",ADE,"[['brimonidine', 'iop elevation']]"
results: extensive squamous metaplasia was found in endometrial glands following progestin therapy.,"[['progestin', 'extensive squamous metaplasia']]",ADE,"[['progestin', 'squamous metaplasia']]"
"results: in a 22-year-old thai woman with graves' disease, tinnitus, hearing impairment in the left ear (with progression to the right ear), and vertigo developed after 3 years of therapy with ptu.","[['ptu', 'hearing impairment'], ['ptu', 'tinnitus'], ['ptu', 'vertigo']]",ADE,"[['ptu', 'hearing impairment in the left ear (with progression to the right ear)'], ['ptu', 'tinnitus'], ['ptu', 'vertigo']]"
"results: one case of recurrent primary peritoneal carcinoma previously treated with a carboplatin-based regimen, developed a platinum hypersensitivity.","[['carboplatin', 'platinum hypersensitivity']]",ADE,"[['carboplatin', 'platinum hypersensitivity']]"
results: quetiapine was associated with leucopenia in two patients and clinically apparent agranulocytosis in one patient.,"[['quetiapine', 'agranulocytosis'], ['quetiapine', 'leucopenia']]",ADE,"[['quetiapine', 'agranulocytosis'], ['quetiapine', 'leucopenia']]"
reversible mr imaging and mr spectroscopy abnormalities in association with metronidazole therapy.,"[['metronidazole', 'reversible mr imaging and mr spectroscopy abnormalities']]",ADE,"[['metronidazole', 'reversible mr imaging and mr spectroscopy abnormalities']]"
reversible posterior leukoencephalopathy syndrome in systemic lupus erythematosus with thrombocytopenia treated with cyclosporine.,"[['cyclosporine', 'reversible posterior leukoencephalopathy syndrome']]",ADE,"[['cyclosporine', 'reversible posterior leukoencephalopathy syndrome']]"
reversible sclerotic changes of lumbar spine and femur due to long-term oral isotretinoin therapy.,"[['isotretinoin', 'reversible sclerotic changes of lumbar spine and femur']]",ADE,"[['isotretinoin', 'sclerotic changes of lumbar spine and femur']]"
rhabdomyolysis has been recognized as a complication of tocolytic therapy with ritodrine hydrochloride.,"[['ritodrine hydrochloride', 'rhabdomyolysis']]",ADE,"[['ritodrine hydrochloride', 'rhabdomyolysis']]"
rifampicin-induced adrenal insufficiency in the acquired immunodeficiency syndrome: difficulties in diagnosis and treatment.,"[['rifampicin', 'adrenal insufficiency']]",ADE,"[['rifampicin', 'adrenal insufficiency']]"
rifampicin-induced renal failure.,"[['rifampicin', 'renal failure']]",ADE,"[['rifampicin', 'renal failure']]"
rifampin-associated thrombocytopenia secondary to poor compliance.,"[['rifampin', 'thrombocytopenia']]",ADE,"[['rifampin', 'thrombocytopenia']]"
rosaceiform eruption induced by erlotinib.,"[['erlotinib', 'rosaceiform eruption']]",ADE,"[['erlotinib', 'rosaceiform eruption']]"
schneiderian first-rank symptoms associated with fluvoxamine treatment: a case report.,"[['fluvoxamine', 'schneiderian first-rank symptoms']]",ADE,"[['fluvoxamine', 'schneiderian first-rank symptoms']]"
seizures associated with ofloxacin therapy.,"[['ofloxacin', 'seizures']]",ADE,"[['ofloxacin', 'seizures']]"
"seizures occurred in two patients with probable alzheimer's disease who were receiving long-term treatment with metrifonate, an irreversible acetylcholinesterase inhibitor.","[['metrifonate', 'seizures']]",ADE,"[['metrifonate', 'seizures']]"
sensorimotor polyneuropathy with 5-aminosalicylic acid: a case report.,"[['5-aminosalicylic acid', 'sensorimotor polyneuropathy']]",ADE,"[['5-aminosalicylic acid', 'sensorimotor polyneuropathy']]"
septic knee arthritis after intra-articular hyaluronate injection.,"[['hyaluronate', 'septic knee arthritis']]",ADE,"[['hyaluronate', 'septic knee arthritis']]"
several possible explanations of the mechanism of renal failure associated with the use of dextran-40 are discussed.,"[['dextran-40', 'renal failure']]",ADE,"[['dextran-40', 'renal failure']]"
severe erythroderma as a complication of continuous epoprostenol therapy.,"[['epoprostenol', 'severe erythroderma']]",ADE,"[['epoprostenol', 'erythroderma']]"
severe hepatotoxicity from phenobarbital occurred in an infant boy who had a complicated illness with chronic bilateral subdural hematomas and sepsis.,"[['phenobarbital', 'severe hepatotoxicity']]",ADE,"[['phenobarbital', 'severe hepatotoxicity']]"
she had been on copaxone 20 mg/day treatment for 2 years when she first exhibited gastrointestinal symptoms.,"[['copaxone', 'gastrointestinal symptoms']]",ADE,"[['copaxone', 'gastrointestinal symptoms']]"
"since elevated cortisol levels in cushing's disease poses a threat for pancreatitis, there is a possibility that patients with cushing's disease might be more prone to acute pancreatitis following propofol administration.","[['propofol', 'acute pancreatitis']]",ADE,"[['propofol', 'acute pancreatitis']]"
"since the bronchospasm was relieved with discontinuation of propranolol and supportive bronchodilator therapy, the bronchospasm was believed to be caused by propranolol.","[['propranolol', 'bronchospasm'], ['propranolol', 'bronchospasm']]",ADE,"[['propranolol', 'bronchospasm'], ['propranolol', 'bronchospasm']]"
sirolimus-eluting stent thrombosis several years after clopidogrel discontinuation.,"[['clopidogrel', 'sirolimus-eluting stent thrombosis']]",ADE,"[['clopidogrel', 'sirolimus-eluting stent thrombosis']]"
skin necrosis is a rare complication of subcutaneous heparin therapy that usually occurs at injection sites.,"[['heparin', 'skin necrosis']]",ADE,"[['heparin', 'skin necrosis']]"
