text,gpt3_generated_labels,gold_labels
the literature search found 12 cases of radiation recall caused by gemcitabine.,"[['gemcitabine', 'radiation recall']]","[['gemcitabine', 'radiation recall']]"
a lupus-like syndrome associated with infliximab therapy.,"[['infliximab', 'a lupus-like syndrome']]","[['infliximab', 'lupus-like syndrome']]"
"the cases are important in documenting that drug-induced dystonias do occur in patients with dementia, that risperidone appears to have contributed to dystonia among elderly patients, and that the categorization of dystonic reactions needs further clarification.","[['risperidone', 'dystonia']]","[['risperidone', 'dystonia']]"
ampicillin may aggravate clinical and experimental myasthenia gravis.,"[['ampicillin', 'myasthenia gravis']]","[['ampicillin', 'myasthenia gravis']]"
colitis as a manifestation of infliximab-associated disseminated cryptococcosis.,"[['infliximab', 'colitis']]","[['infliximab', 'colitis'], ['infliximab', 'disseminated cryptococcosis']]"
rhabdomyolysis has been recognized as a complication of tocolytic therapy with ritodrine hydrochloride.,"[['ritodrine hydrochloride', 'rhabdomyolysis']]","[['ritodrine hydrochloride', 'rhabdomyolysis']]"
life-threatening alterations in heart rate after the use of adenosine in atrial flutter.,"[['adenosine', 'heart rate']]","[['adenosine', 'alterations in heart rate']]"
a 22-year-old drug-abuser injected flunitrazepam tablets dissolved in tap water into her left femoral artery and presented with clinical signs of acute ischaemia of the left leg.,"[['flunitrazepam', 'acute ischaemia of the left leg']]","[['flunitrazepam', 'acute ischaemia of the left leg']]"
ampicillin-induced interstitial nephritis with generalised exfoliative dermatitis.,"[['ampicillin', 'interstitial nephritis']]","[['ampicillin', 'generalised exfoliative dermatitis'], ['ampicillin', 'interstitial nephritis']]"
conclusions: amphotericin b overdose can be fatal in children and infants.,"[['amphotericin b', 'overdose']]","[['amphotericin b', 'fatal']]"
pharmacokinetic determinants of 6-mercaptopurine myelotoxicity and therapeutic failure in children with acute lymphoblastic leukemia.,"[['6-mercaptopurine', 'myelotoxicity']]","[['6-mercaptopurine', 'myelotoxicity']]"
methemoglobinemia: an occupational hazard of phenylpropanolamine production.,"[['phenylpropanolamine', 'methemoglobinemia']]","[['phenylpropanolamine', 'methemoglobinemia']]"
"however, cyclosporine dependency is associated with the risk of nephrotoxicity.","[['cyclosporine', 'nephrotoxicity']]","[['cyclosporine', 'nephrotoxicity']]"
purpose: to report a case of nodular scleritis following alendronate sodium.,"[['alendronate sodium', 'nodular scleritis']]","[['alendronate sodium', 'nodular scleritis']]"
"although neurotoxicity is a frequent complication of methotrexate therapy, fatal acute neurotoxicity is extremely uncommon, especially in adults.","[['methotrexate', 'neurotoxicity']]","[['methotrexate', 'fatal acute neurotoxicity'], ['methotrexate', 'neurotoxicity']]"
"a patient is presented with typical hyperthyroidism, who developed a severe proximal muscle weakness and a raised creatine phosphokinase after treatment for hyperthyroidism with propylthiouracil (100 mg orally, three times a day).","[['propylthiouracil', 'hyperthyroidism']]","[['propylthiouracil', 'hyperthyroidism'], ['propylthiouracil', 'raised creatine phosphokinase'], ['propylthiouracil', 'severe proximal muscle weakness']]"
"to our knowledge, this recurrence of amiodarone pulmonary toxicity has not been reported previously.","[['amiodarone', 'pulmonary toxicity']]","[['amiodarone', 'pulmonary toxicity']]"
acute hyperphosphatemia caused by sodium phosphate enema in a patient with liver dysfunction and chronic renal failure.,"[['sodium phosphate enema', 'acute hyperphosphatemia']]","[['sodium phosphate', 'hyperphosphatemia']]"
the second is a 29-year-old man with cd in whom nodular sclerosing hodgkin's lymphoma was diagnosed 3 weeks after infusion with infliximab.,"[['infliximab', ""nodular sclerosing hodgkin's lymphoma""]]","[['infliximab', ""nodular sclerosing hodgkin's lymphoma""]]"
his impaired memory was found to be due to the atenolol he was on and he made a complete recovery on withdrawing the beta-blocker.,"[['atenolol', 'impaired memory']]","[['atenolol', 'impaired memory']]"
linezolid-associated acute interstitial nephritis and drug rash with eosinophilia and systemic symptoms (dress) syndrome.,"[['linezolid', 'acute interstitial nephritis'], ['linezolid', 'drug rash with eosinophilia and systemic symptoms (dress) syndrome']]","[['linezolid', 'acute interstitial nephritis'], ['linezolid', 'dress'], ['linezolid', 'drug rash with eosinophilia and systemic symptoms']]"
"we report one case of non-hodgkin lymphoma in a patient, with a 30-year history of rheumatoid arthritis, taking low dose methotrexate weekly over a 10-month period.","[['methotrexate', 'non-hodgkin lymphoma']]","[['methotrexate', 'non-hodgkin lymphoma']]"
pulmonary toxicity associated with erlotinib.,"[['erlotinib', 'pulmonary toxicity']]","[['erlotinib', 'pulmonary toxicity']]"
case report: we report a case of intracerebral hemorrhage occurring in a middle-aged man who suffered from chronic sinusitis and had been ingesting pseudoephedrine daily for one year.,"[['pseudoephedrine', 'intracerebral hemorrhage']]","[['pseudoephedrine', 'intracerebral hemorrhage']]"
"there is evidence that the angiotensin ii receptor antagonist, losartan, increases urate excretion by reducing reabsorption of urate in the renal proximal tubule.","[['losartan', 'urate excretion']]","[['losartan', 'increases urate excretion']]"
quetiapine-induced leucopenia and thrombocytopenia.,"[['quetiapine', 'leucopenia'], ['quetiapine', 'thrombocytopenia']]","[['quetiapine', 'leucopenia'], ['quetiapine', 'thrombocytopenia']]"
amphotericin b nephrotoxicity in humans decreased by salt repletion.,"[['amphotericin b', 'nephrotoxicity']]","[['amphotericin b', 'nephrotoxicity']]"
l-asparaginase-induced pancreatitis is an uncommon but potential lethal complication of the treatment of leukemia.,"[['l-asparaginase', 'pancreatitis']]","[['l-asparaginase', 'lethal complication'], ['l-asparaginase', 'pancreatitis']]"
concurrent acute megaloblastic anaemia and pneumonitis: a severe side-effect of low-dose methotrexate therapy during rheumatoid arthritis.,"[['methotrexate', 'concurrent acute megaloblastic anaemia and pneumonitis']]","[['methotrexate', 'concurrent acute megaloblastic anaemia'], ['methotrexate', 'pneumonitis']]"
disulfiram-like reactions with newer cephalosporins: cefmenoxime.,"[['cefmenoxime', 'disulfiram-like reactions']]","[['cefmenoxime', 'disulfiram-like reactions']]"
"clinicians should be aware that an erythematous and exfoliative rash may be induced by temozolomide, and be familiar with the pharmacologic and supportive measures necessary for its treatment.","[['temozolomide', 'erythematous and exfoliative rash']]","[['temozolomide', 'exfoliative rash']]"
delayed hypersensitivity to flurbiprofen.,"[['flurbiprofen', 'delayed hypersensitivity']]","[['flurbiprofen', 'delayed hypersensitivity']]"
study design: case reports are presented of three premature infants (mean gestational age 27 weeks) cared for in the intensive care nursery in whom clinically significant septal hypertrophy and left ventricular outflow tract obstruction developed during dexamethasone treatment for bronchopulmonary dysplasia.,"[['dexamethasone', 'left ventricular outflow tract obstruction'], ['dexamethasone', 'septal hypertrophy']]","[['dexamethasone', 'left ventricular outflow tract obstruction'], ['dexamethasone', 'septal hypertrophy']]"
this supports the well-reported potential of bleomycin to trigger acral vascular toxicity.,"[['bleomycin', 'acral vascular toxicity']]","[['bleomycin', 'acral vascular toxicity']]"
"accordingly, camptocormia is a dose-dependent side effect of valproate.","[['valproate', 'camptocormia']]","[['valproate', 'camptocormia']]"
"introduction: although gefitinib used for the treatment of non-small-cell lung cancer is a well-known cause of interstitial lung disease (ild), few case reports on erlotinib-induced ild have been issued.","[['erlotinib', 'interstitial lung disease']]","[['gefitinib', 'ild'], ['erlotinib', 'ild'], ['gefitinib', 'interstitial lung disease']]"
a 23-year-old woman with systemic lupus erythematosus had a severe hypersensitivity reaction to the drug ibuprofen.,"[['ibuprofen', 'hypersensitivity reaction']]","[['ibuprofen', 'severe hypersensitivity reaction']]"
"animals treated with hal showed a highly significant 32%-46% loss of tyrosine hydroxylase (th) immunoreactive neurons in the substantia nigra, and 20% contraction of the th stained dendritic arbour.","[['hal', 'th immunoreactive neurons']]","[['hal', 'significant 32%-46% loss of tyrosine hydroxylase (th) immunoreactive neurons']]"
"discussion: colchicine, the most important drug in treatment of fmf, can cause myopathy in patients with impaired renal and hepatic function.","[['colchicine', 'myopathy']]","[['colchicine', 'myopathy']]"
"despite a postulated dopaminergic mechanism, there seems to have been only one previous report of amantadine's precipitating psychosis in a schizophrenic patient.","[['amantadine', 'psychosis']]","[['amantadine', 'precipitating psychosis']]"
"we also describe a new, noninvasive method to assess magnesium-induced neuromuscular block when curariform muscle relaxant was given simultaneously.","[['magnesium', 'neuromuscular block']]","[['magnesium', 'neuromuscular block']]"
acute renal failure most likely was secondary to the nephrotoxic effect of captopril on chronically hypoperfused kidneys.,"[['captopril', 'acute renal failure']]","[['captopril', 'acute renal failure']]"
"in patients with methotrexate-induced anaphylaxis, discontinuation of treatment may increase the risk of death due to cancer progression.","[['methotrexate', 'anaphylaxis']]","[['methotrexate', 'anaphylaxis']]"
results: quetiapine was associated with leucopenia in two patients and clinically apparent agranulocytosis in one patient.,"[['quetiapine', 'leucopenia'], ['quetiapine', 'agranulocytosis']]","[['quetiapine', 'agranulocytosis'], ['quetiapine', 'leucopenia']]"
reversible sclerotic changes of lumbar spine and femur due to long-term oral isotretinoin therapy.,"[['isotretinoin', 'reversible sclerotic changes of lumbar spine and femur']]","[['isotretinoin', 'sclerotic changes of lumbar spine and femur']]"
it is concluded that simultaneous administration of ciprofloxacin and tazobactam/piperacillin may cause marked thrombocytosis.,"[['ciprofloxacin', 'thrombocytosis'], ['tazobactam/piperacillin', 'thrombocytosis']]","[['ciprofloxacin', 'thrombocytosis'], ['piperacillin', 'thrombocytosis'], ['tazobactam', 'thrombocytosis']]"
we report a case of fulminant neuroleptic malignant syndrome in a man aged 70 developing within 12 hours of starting six-hourly intravenous metoclopramide.,"[['metoclopramide', 'fulminant neuroleptic malignant syndrome']]","[['metoclopramide', 'neuroleptic malignant syndrome']]"
"we report a patient with type 2 diabetes mellitus who, while treated with the antitumor necrosis factor-alpha blocking agent etanercept for severe plaque psoriasis, experienced persistent hypoglycemia requiring the lowering and eventual elimination of his previous insulin regimen.","[['etanercept', 'hypoglycemia']]","[['etanercept', 'persistent hypoglycemia']]"
physicians should be aware of the potential for the development of rs among children who are receiving long-term aspirin therapy for the treatment of systemic inflammatory illnesses.,"[['aspirin', 'rs']]","[['aspirin', 'rs']]"
conclusions: clinicians treating elderly patients with olanzapine should be aware of the potential for rapidly developing hyperglycemia and monitor such patients accordingly.,"[['olanzapine', 'hyperglycemia']]","[['olanzapine', 'hyperglycemia']]"
"although the literature on the use of risperidone in elderly patients with dementia consists largely of uncontrolled trials, case reports, and chart reviews, it appears that this agent is effective for managing agitation in this population and does so with a low frequency of extrapyramidal symptoms (eps).","[['risperidone', 'extrapyramidal symptoms']]","[['risperidone', 'eps'], ['risperidone', 'extrapyramidal symptoms']]"
"when the trazodone was reduced, the involuntary movements promptly ceased.","[['trazodone', 'involuntary movements']]","[['trazodone', 'involuntary movements']]"
"in one patient, treatment with dca was associated with a decrease in blood lactate levels from 11.2 mm before treatment to 0.8 mm 16 h later.","[['dca', 'lactate levels']]","[['dca', 'decrease in blood lactate levels']]"
"a 45-year-old woman with steroid-dependent crohn's colitis, successfully managed with maintenance infliximab infusions and methotrexate, developed a lupus-like syndrome eight months after her initial infusion.","[['infliximab', 'lupus-like syndrome'], ['methotrexate', 'lupus-like syndrome']]","[['infliximab', 'lupus-like syndrome'], ['methotrexate', 'lupus-like syndrome']]"
ibuprofen-induced meningitis: detection of intrathecal igg synthesis and immune complexes.,"[['ibuprofen', 'meningitis']]","[['ibuprofen', 'meningitis']]"
objective: to test the hypothesis that tumor necrosis factor (tnf)-alpha may mediate the loss and the dedifferentiation of subcutaneous fat tissue in the insulin-induced lipoatrophies of a diabetic patient who presented extensive lesions.,"[['tnf-alpha', 'insulin-induced lipoatrophies']]","[['insulin', 'lipoatrophies']]"
we report a 53-year-old-man who developed rippling muscle disease (rmd) 2 months after starting simvastatin therapy for hypercholesterolemia.,"[['simvastatin', 'rippling muscle disease']]","[['simvastatin', 'rippling muscle disease'], ['simvastatin', 'rmd']]"
we describe a heroin abuser in whom clinical and laboratory manifestations of acute hepatitis b and c appeared a few days after the insertion of a subcutaneous naltrexone implant.,"[['naltrexone', 'hepatitis b'], ['naltrexone', 'hepatitis c']]","[['naltrexone', 'acute hepatitis b and c']]"
treatment of lithium-induced diabetes insipidus with amiloride.,"[['amiloride', 'lithium-induced diabetes insipidus']]","[['lithium', 'diabetes insipidus']]"
"electro-oculography, electroretinography, visual evoked potentials, and multifocal electroretinography in patients with vigabatrin-attributed visual field constriction.","[['vigabatrin', 'electro-oculography'], ['vigabatrin', 'electroretinography'], ['vigabatrin', 'multifocal electroretinography'], ['vigabatrin', 'visual evoked potentials']]","[['vigabatrin', 'visual field constriction']]"
postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,"[['fleet phospho-soda', 'hypocalcemic tetany'], ['alendronate sodium', 'hypocalcemic tetany']]","[['alendronate sodium', 'hypocalcemic tetany'], ['fleet phospho-soda', 'hypocalcemic tetany']]"
methods: repeated blood samples were drawn in a patient with severe acyclovir overdose who developed coma and nonoliguric renal failure.,"[['acyclovir', 'coma'], ['acyclovir', 'nonoliguric renal failure']]","[['acyclovir', 'coma'], ['acyclovir', 'nonoliguric renal failure']]"
liver disease induced by perhexiline maleate.,"[['perhexiline maleate', 'liver disease']]","[['perhexiline maleate', 'liver disease']]"
a 35-year-old woman presented with neurotoxicity correlated to an i.v. regimen of 5-fluorouracil as episodes of acute confusional state and abnormalities of symmetrically restricted diffusion in the periventricular white matter and corpus callosum.,"[['5-fluorouracil', 'neurotoxicity']]","[['5-fluorouracil', 'acute confusional state'], ['5-fluorouracil', 'neurotoxicity']]"
we report the case of a woman who developed photo-onycholysis on multiple nails after uptake of olanzapine.,"[['olanzapine', 'photo-onycholysis']]","[['olanzapine', 'photo-onycholysis']]"
the case is presented of a 72-year-old man with hormone-refractory prostate cancer and weekly administration of 30 mg/m2 docetaxel who developed subacute interstitial pneumonitis-related pulmonary fibrosis after seven doses and died despite mechanical ventilation and high-dose corticosteroid treatment.,"[['docetaxel', 'pulmonary fibrosis']]","[['docetaxel', 'subacute interstitial pneumonitis-related pulmonary fibrosis']]"
marked hyperkalemia was observed during and immediately after an infusion of arginine monohydrochloride in two patients with severe hepatic disease and moderate renal insufficiency.,"[['arginine monohydrochloride', 'hyperkalemia']]","[['arginine monohydrochloride', 'marked hyperkalemia']]"
a 65-year-old woman with bipolar disorder and complicated cardiovascular disease who was on maintenance lithium therapy developed a movement disorder following high doses of trazodone for treatment of an acute depression.,"[['trazodone', 'movement disorder']]","[['lithium', 'movement disorder'], ['trazodone', 'movement disorder']]"
"a dapsone hypersensitivity syndrome, consisting of fever, headache, nausea, vomiting, lymphadenopathy, hepatitis, hemolysis, leukopenia, and mononucleosis, has been described in patients treated with the drug for leprosy.","[['dapsone', 'hypersensitivity syndrome']]","[['dapsone', 'fever'], ['dapsone', 'headache'], ['dapsone', 'hemolysis'], ['dapsone', 'hepatitis'], ['dapsone', 'hypersensitivity syndrome'], ['dapsone', 'leukopenia'], ['dapsone', 'lymphadenopathy'], ['dapsone', 'mononucleosis'], ['dapsone', 'nausea'], ['dapsone', 'vomiting']]"
the possible development of a drug-induced vasculitis or lupus-like syndrome should be added to the list of rare toxic effects of vancomycin.,"[['vancomycin', 'vasculitis']]","[['vancomycin', 'lupus-like syndrome'], ['vancomycin', 'vasculitis']]"
"a case is reported in which severe hypocalcemia, with a low plasma parathyroid hormone (pth) concentration, resulted from the therapeutic use of magnesium sulfate for toxemia of pregnancy.","[['magnesium sulfate', 'hypocalcemia']]","[['magnesium sulfate', 'low plasma parathyroid hormone'], ['magnesium sulfate', 'pth'], ['magnesium sulfate', 'severe hypocalcemia']]"
bisphosphonate-related osteonecrosis of the jaw (bronj) is reported in up to 18.6% of patients treated with intravenous bisphosphonates and can result in significant morbidity.,"[['bisphosphonates', 'bisphosphonate-related osteonecrosis of the jaw']]","[['bisphosphonate', 'osteonecrosis of the jaw']]"
"to our knowledge, drug-induced fever has not been reported with the use of diltiazem hydrochloride, a commonly prescribed calcium channel blocker.","[['diltiazem hydrochloride', 'drug-induced fever']]","[['diltiazem hydrochloride', 'fever']]"
disseminated eruptive giant mollusca contagiosa in an adult psoriasis patient during efalizumab therapy.,"[['efalizumab', 'disseminated eruptive giant mollusca contagiosa']]","[['efalizumab', 'disseminated eruptive giant mollusca contagiosa']]"
the exophthalmos improved dramatically within 72 hours of the withdrawal of lithium.,"[['lithium', 'exophthalmos']]","[['lithium', 'exophthalmos']]"
"aseptic meningitis, hemolytic anemia, hepatitis, and orthostatic hypotension in a patient treated with trimethoprim-sulfamethoxazole.","[['trimethoprim-sulfamethoxazole', 'aseptic meningitis'], ['trimethoprim-sulfamethoxazole', 'hemolytic anemia'], ['trimethoprim-sulfamethoxazole', 'hepatitis'], ['trimethoprim-sulfamethoxazole', 'orthostatic hypotension']]","[['sulfamethoxazole', 'aseptic meningitis'], ['trimethoprim', 'aseptic meningitis'], ['sulfamethoxazole', 'hemolytic anemia'], ['trimethoprim', 'hemolytic anemia'], ['sulfamethoxazole', 'hepatitis'], ['trimethoprim', 'hepatitis'], ['sulfamethoxazole', 'orthostatic hypotension'], ['trimethoprim', 'orthostatic hypotension']]"
leflunomide-associated weight loss in rheumatoid arthritis.,"[['leflunomide', 'weight loss']]","[['leflunomide', 'weight loss']]"
"as these cases revealed, close monitoring of blood chemistry is mandatory after starting spironolactone, and patients should be advised to stop spironolactone immediately if diarrhoea develops.","[['spironolactone', 'diarrhoea']]","[['spironolactone', 'diarrhoea']]"
"fatal agranulocytosis in an indian male receiving 100mg of dapsone daily, hospitalized for mid-borderline leprosy in type i reaction with triple nerve paralysis is reported.","[['dapsone', 'agranulocytosis']]","[['dapsone', 'fatal agranulocytosis']]"
an infant who developed pancreatitis during meglumine antimoniate treatment for visceral leishmaniasis and who was successfully treated with a combination of allopurinol and ketoconazole is reported.,"[['meglumine antimoniate', 'pancreatitis'], ['allopurinol', 'ketoconazole']]","[['meglumine antimoniate', 'pancreatitis']]"
"thus, an immunological mechanism might be involved in the mechanism of pirmenol-induced qt prolongation and t wave inversion on the electrocardiogram.","[['pirmenol', 'qt prolongation']]","[['pirmenol', 'qt prolongation'], ['pirmenol', 't wave inversion']]"
hepatotoxicity associated with choline magnesium trisalicylate: case report and review of salicylate-induced hepatotoxicity.,"[['choline magnesium trisalicylate', 'hepatotoxicity']]","[['salicylate', 'hepatotoxicity'], ['choline magnesium trisalicylate', 'hepatotoxicity']]"
"case report: we report the case of a 58 year old patient who, after 2 days of treatment with roxithromycin and betamethasone, manifested acute pancreatitis.","[['roxithromycin', 'acute pancreatitis']]","[['betamethasone', 'acute pancreatitis'], ['roxithromycin', 'acute pancreatitis']]"
we report the first biopsy confirmed occurrence of acute interstitial nephritis in a patient receiving treatment with sunitinib for metastatic renal cell cancer.,"[['sunitinib', 'acute interstitial nephritis']]","[['sunitinib', 'acute interstitial nephritis']]"
we present the first case (to our knowledge) of a potentially serious drug-drug interaction between zafirlukast and theophylline.,"[['zafirlukast', 'theophylline']]","[['theophylline', 'drug-drug interaction'], ['zafirlukast', 'drug-drug interaction']]"
"eosinophilia caused by clozapine was observed in challenge, preceded by a faster neutrophil production and consecutive decrease (z = 2.27, p = 0.01).","[['clozapine', 'eosinophilia']]","[['clozapine', 'eosinophilia']]"
the development of cutaneous ecchymosis associated with a sudden fall in hemoglobin after the administration of alteplase should strongly suggest the possibility of diffuse subfascial hematoma.,"[['alteplase', 'diffuse subfascial hematoma']]","[['alteplase', 'cutaneous ecchymosis'], ['alteplase', 'diffuse subfascial hematoma'], ['alteplase', 'sudden fall in hemoglobin']]"
development of peyronie's disease during long-term colchicine treatment.,"[['colchicine', ""peyronie's disease""]]","[['colchicine', ""peyronie's disease""]]"
"recently, some studies have also reported association between patients with juvenile rheumatoid arthritis (jra) treated with methotrexate (mtx) and malignant lymphoma developing.","[['methotrexate', 'malignant lymphoma']]","[['methotrexate', 'malignant lymphoma'], ['mtx', 'malignant lymphoma']]"
we report a case of a patient with mild chronic renal insufficiency who had been taking simvastatin for over a year and developed acute weakness within 3 weeks after the start of treatment with colchicine for acute gouty bursitis.,"[['colchicine', 'acute weakness'], ['simvastatin', 'acute weakness']]","[['colchicine', 'acute weakness'], ['simvastatin', 'acute weakness'], ['simvastatin', 'mild chronic renal insufficiency']]"
choroidal hemorrhage associated with systemic tissue plasminogen activator.,"[['systemic tissue plasminogen activator', 'choroidal hemorrhage']]","[['tissue plasminogen activator', 'choroidal hemorrhage']]"
severe erythroderma as a complication of continuous epoprostenol therapy.,"[['epoprostenol', 'severe erythroderma']]","[['epoprostenol', 'erythroderma']]"
telescoped digits of the hands and feet developed in a 69-year-old male with severe chronic tophaceous gout during allopurinol treatment.,"[['allopurinol', 'telescoped digits']]","[['allopurinol', 'telescoped digits of the hands and feet']]"
this case represents the third example of erythroid aplasia associated with an anti-inflammatory agent and the first instance due to fenoprofen.,"[['fenoprofen', 'erythroid aplasia']]","[['fenoprofen', 'erythroid aplasia']]"
we report a case of a child with neurodevelopmental delay with chronic constipation and a history of chronic mineral oil ingestion presenting as asymptomatic exogenous lipoid pneumonia (elp).,"[['mineral oil', 'exogenous lipoid pneumonia']]","[['mineral oil', 'elp'], ['mineral oil', 'exogenous lipoid pneumonia']]"
"in patients with a known access to inh, seizures should be considered to be caused by inh toxicity unless proved otherwise.","[['inh', 'seizures']]","[['inh', 'seizures']]"
"a patient with monocular open-angle glaucoma had trichiasis, a condition associated with the use of a prostaglandin analog.","[['prostaglandin analog', 'trichiasis']]","[['prostaglandin', 'trichiasis']]"
we suggest that itraconazole should be added to the list of drugs that may be responsible for a drug-induced vanishing bile duct syndrome.,"[['itraconazole', 'vanishing bile duct syndrome']]","[['itraconazole', 'vanishing bile duct syndrome']]"
heparin-associated thrombocytopenia: successful therapy with the heparinoid org 10172 in a patient showing cross-reaction to lmw heparins.,"[['org 10172', 'heparin-associated thrombocytopenia']]","[['heparin', 'thrombocytopenia']]"
widespread cutaneous vasculitis associated with diltiazem.,"[['diltiazem', 'widespread cutaneous vasculitis']]","[['diltiazem', 'cutaneous vasculitis']]"
"he had been taking trimethoprim-sulfamethoxazole for approximately eight days when he revisited his family physician, complaining of headaches, dizziness, difficulty with speech, weakness, and itching on the trunk of his body and legs, where a maculopapular rash was noted.","[['trimethoprim-sulfamethoxazole', 'headaches'], ['trimethoprim-sulfamethoxazole', 'dizziness'], ['trimethoprim-sulfamethoxazole', 'difficulty with speech'], ['trimethoprim-sulfamethoxazole', 'weakness'], ['trimethoprim-sulfamethoxazole', 'itching'], ['trimethoprim-sulfamethoxazole', 'maculopapular rash']]","[['sulfamethoxazole', 'difficulty with speech'], ['trimethoprim', 'difficulty with speech'], ['sulfamethoxazole', 'dizziness'], ['trimethoprim', 'dizziness'], ['sulfamethoxazole', 'headaches'], ['trimethoprim', 'headaches'], ['sulfamethoxazole', 'itching on the trunk'], ['trimethoprim', 'itching on the trunk'], ['sulfamethoxazole', 'maculopapular rash'], ['trimethoprim', 'maculopapular rash'], ['sulfamethoxazole', 'weakness'], ['trimethoprim', 'weakness']]"
glomerulonephritis in procainamide induced lupus erythematosus: report of a case and review of the literature.,"[['procainamide', 'glomerulonephritis']]","[['procainamide', 'glomerulonephritis'], ['procainamide', 'lupus erythematosus']]"
during and after ifn therapy we should consider the possibility of occurrence of iddm as well as other autoimmune diseases and observe the clinical course carefully.,"[['ifn', 'iddm']]","[['ifn', 'iddm']]"
"in a series of 104 cases of intentional or inadvertent use of zidovudine at differing gestations in pregnancy, there were eight spontaneous first trimester abortions, eight therapeutic terminations, and eight cases of fetal abnormality occurring among a total of 88 cases where the pregnancy progressed.","[['zidovudine', 'spontaneous abortion'], ['zidovudine', 'therapeutic terminations'], ['zidovudine', 'fetal abnormality']]","[['zidovudine', 'fetal abnormality'], ['zidovudine', 'first trimester abortions']]"
indinavir-associated nephrolithiasis and chronic interstitial nephritis were the only possible causes identified in this patient.,"[['indinavir', 'nephrolithiasis'], ['indinavir', 'chronic interstitial nephritis']]","[['indinavir', 'interstitial nephritis'], ['indinavir', 'nephrolithiasis']]"
the biochemistry of paracetamol hepatotoxicity is outlined and the increased susceptibility of alcoholic patients to the hepatotoxic effects of paracetamol is remarked upon.,"[['paracetamol', 'hepatotoxicity']]","[['paracetamol', 'hepatotoxic effects'], ['paracetamol', 'hepatotoxicity']]"
there was a clear relationship between restarting the accutane and recurrence of the transient myopia.,"[['accutane', 'transient myopia']]","[['accutane', 'transient myopia']]"
"fatal pulmonary fibrosis associated with bcnu: the relative role of platelet-derived growth factor-b, insulin-like growth factor i, transforming growth factor-beta1 and cyclooxygenase-2.","[['bcnu', 'fatal pulmonary fibrosis']]","[['bcnu', 'fatal pulmonary fibrosis']]"
this is a report of a case of anuric arf after high-dose mannitol infusion for treatment of narrow-angle glaucoma that readily responded to acute hemodialysis.,"[['mannitol', 'anuric arf']]","[['mannitol', 'anuric arf']]"
"the chemotherapeutics, including vincristine, actinomycin d, and epirubicin in case 1 and vincristine and actinomycin d in case 2, were given before the hepatotoxicity developed.","[['vincristine', 'hepatotoxicity'], ['actinomycin d', 'hepatotoxicity']]","[['actinomycin d', 'hepatotoxicity'], ['actinomycin d', 'hepatotoxicity'], ['epirubicin', 'hepatotoxicity'], ['vincristine', 'hepatotoxicity'], ['vincristine', 'hepatotoxicity']]"
"this profile should trigger a ""red flag"" as to the possibility of phenobarbital behavioral side effects or exacerbation of preexisting maladaptive behaviors.","[['phenobarbital', 'behavioral side effects']]","[['phenobarbital', 'behavioral side effects'], ['phenobarbital', 'exacerbation of preexisting maladaptive behaviors']]"
"isotretinoin, a drug used for the treatment of acne, has been shown to have teratogenic effects.","[['isotretinoin', 'teratogenic effects']]","[['isotretinoin', 'teratogenic effects']]"
persistent hypoglycemia in a patient with diabetes taking etanercept for the treatment of psoriasis.,"[['etanercept', 'hypoglycemia']]","[['etanercept', 'persistent hypoglycemia']]"
"the ocular toxicity of dcf, previously described as conjunctivitis, appears to be a keratitis of moderate severity which requires further study.","[['dcf', 'keratitis']]","[['dcf', 'conjunctivitis'], ['dcf', 'keratitis'], ['dcf', 'ocular toxicity']]"
unaccountable severe hypercalcemia in a patient treated for hypoparathyroidism with dihydrotachysterol.,"[['dihydrotachysterol', 'severe hypercalcemia']]","[['dihydrotachysterol', 'hypercalcemia']]"
intravenous diazepam exacerbated the seizures.,"[['diazepam', 'seizures']]","[['diazepam', 'seizures']]"
hepatic angiosarcoma occurring after cyclophosphamide therapy: case report and review of the literature.,"[['cyclophosphamide', 'hepatic angiosarcoma']]","[['cyclophosphamide', 'hepatic angiosarcoma']]"
a patient with disseminated herpes zoster developed a syndrome of inappropriate antidiuretic hormone and profound hyponatremia secondary to the administration of adenine arabinoside.,"[['adenine arabinoside', 'syndrome of inappropriate antidiuretic hormone']]","[['adenine arabinoside', 'hyponatremia'], ['adenine arabinoside', 'syndrome of inappropriate antidiuretic hormone']]"
caution with use of cimetidine in tolazoline induced upper gastrointestinal bleeding.,"[['cimetidine', 'tolazoline induced upper gastrointestinal bleeding']]","[['cimetidine', 'upper gastrointestinal bleeding'], ['tolazoline', 'upper gastrointestinal bleeding']]"
"finally, reserpine toxicity, in particular central nervous system (cns) disturbances, was reported more frequently in patients also receiving barbiturates, suggesting additive cns effects.","[['barbiturates', 'cns disturbances'], ['reserpine', 'cns disturbances']]","[['reserpine', 'reserpine toxicity']]"
objective: to report 2 cases of serotonin syndrome with serious extrapyramidal movement disorders occurring when metoclopramide was coadministered with sertraline or venlafaxine.,"[['metoclopramide', 'serotonin syndrome']]","[['metoclopramide', 'extrapyramidal movement disorders'], ['sertraline', 'extrapyramidal movement disorders'], ['venlafaxine', 'extrapyramidal movement disorders'], ['metoclopramide', 'serotonin syndrome'], ['sertraline', 'serotonin syndrome'], ['venlafaxine', 'serotonin syndrome']]"
a typical case of dextran-40 associated acute renal failure is presented.,"[['dextran-40', 'acute renal failure']]","[['dextran-40', 'acute renal failure']]"
