input,response
"Although both the spontaneous occurrence of SLE and the psychosis as a sign of CNS involvement of SLE cannot be excluded, SLE could be considered as an adverse effect of carbamazepine.","[[""SLE"",""adverse effect""]]"
Marked sinus tachycardia resulting from the synergistic effects of marijuana and nortriptyline.,"[[""marijuana"",""synergistic effects""], [""sinus tachycardia""], [""nortriptyline"",""synergistic effects""]]"
"ADH hypersecretion in relation to plasma osmolality was reversed by mizoribin withdrawal, suggesting that bredinin might adversely induce SIADH.","[[""SIADH"",""bredinin""]]"
An objective causality assessment suggests that the JHR in our patient was probably related to penicillin.,"[[""JHR"",""drug""]]"
Fluorouracil for allergic reactions to capecitabine.,"[[""Fluorouracil"",""allergy""]]"
Post marketing studies of Interferon-beta (IFN beta) therapy in multiple sclerosis (MS) have demonstrated surprisingly high rates of hepatotoxicity.,"[[""Interferon-beta"",""hepatotoxicity""]]"
"While both amiodarone and digoxin can cause permanent visual changes, the ocular effects are often reversible.","[[""amiodarone"",""ocular effects""], [""digoxin"",""ocular effects""]]"
"CONCLUSIONS: Clinicians should be aware of a risk of serotonin syndrome with serious extrapyramidal reactions in patients receiving sertraline or venlafaxine when metoclopramide is coadministered even in a single, conventional dose.","[[""sertraline"",""serious extrapyramidal reactions""], [""venlafaxine"",""serious extrapyramidal reactions""], [""metoclopramide"",""serious extrapyramidal reactions""]]"
"However, in order to avoid neuropathic side effects, patients under thalidomide therapy should be monitored every 6 months with nerve conduction studies while taking the drug.","[[""Thalidomide"",""side effect""]]"
A patient with disseminated herpes zoster developed a syndrome of inappropriate antidiuretic hormone and profound hyponatremia secondary to the administration of adenine arabinoside.,"[[""adenine arabinoside"",""syndrome of inappropriate antidiuretic hormone""]]"
We present a case of photo-onycholysis in a patient treated with doxycycline for acne vulgaris.,"[[""doxycycline"",""photo-onycholysis""]]"
OBJECTIVE: To report a case of cutaneous and hematologic toxicity in a patient treated with IL-2.,"[[""IL-2"",""toxicity""]]"
A 52 year-old male patient diagnosed of ankylosing spondylitis presented with an iron deficiency anemia after a ten-month treatment of methotrexate.,"[[""methotrexate"",""iron deficiency anemia""]]"
A 10-year-old girl with Lennox-Gastaut syndrome who received intravenous lorazepam for atypical absence status seizures is reported.,"[[""Lennox-Gastaut syndrome""], [""Lorazepam""], [""10-year-old girl""]]"
Intravenous sodium bicarbonate appears to be indicated prophylactically in combating the associated metabolic acidosis due to absorbed formic acid.,"[[""formic acid"",""metabolic acidosis""]]"
CASE REPORT: A six-year-old boy with transfusion-dependent beta-thalassaemia developed a unilateral hearing loss shortly after commencing desferrioxamine therapy.,"[[""desferrioxamine"",""hearing loss""]]"
"Eleven patients developed infection requiring hospitalization while taking leflunomide including: lower respiratory tract infections (3), cellulitis (2), disseminated herpes zoster (2), probable TB liver (1), abdominal sepsis (1), mycotic aneurysm (1) and gastroenteritis (1).","[[""lower respiratory tract infections""], [""cellulitis""], [""disseminated herpes zoster""], [""probable TB liver""], [""abdominal sepsis""], [""mycotic aneurysm""]]"
"In summary, we report herein the first case of SIADH believed to be an adverse effect of mizoribin, which may therefore needed to be added to the list of drugs which can induce SIADH.","[[""mizoribin"",""SIADH""]]"
Severe diffuse interstitial pneumonitis induced by carmustine (BCNU).,"[[""carmustine"",""diffuse interstitial pneumonitis""]]"
We report on a child with fatal valproate-related hepatotoxic effects despite this supplementation.,"[[""valproate"",""hepatotoxicity""]]"
"Nifedipine may induce, or aggravate, pre-existing, gastro-oesophageal reflux.","[[""Nifedipine"",""induces gastro-oesophageal reflux""]]"
Thalidomide was withdrawn from world markets in 1961 following recognition of its teratogenic effects.,"[[""Thalidomide""], ""teratogenic effects""]]"
"In four patients, thrombosis occurred 2-45 days after severe hepatic veno-occlusive disease (HVOD) secondary to intensive chemotherapy containing busulfan.","[[""thrombosis"",""cause"",""busulfan""]]"
We describe a patient who became hypothyroid while taking ferrous sulfate.,"[[""ferrous sulfate"",""hypothyroidism""]]"
"After induction of general anesthesia and administration of a standard dose of intravenous esmolol hydrochloride, her cardiac rhythm progressed to asystole.","[[""esmolol hydrochloride"",""cardiac rhythm""]]"
"To our knowledge, the syndrome of fever, pulmonary infiltrates, and pleural effusion following use of acyclovir has not been previously reported.","[[""acyclovir"",""pulmonary infiltrates""],[""acyclovir"",""pleural effusion""],[""acyclovir"",""fever""]]"
"The findings were judged to be consistent with soft-tissue injury associated with intravenous administration of phenytoin, also termed purple glove syndrome.","[[""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""], [""Purple glove syndrome""],"
CONCLUSIONS: Amantadine can cause reversible corneal edema but can irreversibly reduce the density of endothelial cells.,"[[""amantadine"",""reversible corneal edema""]]"
Acute endophthalmitis following intravitreal bevacizumab (Avastin) injection.,"[[""Avastin"",""intravitreal injection""]]"
Primary CNS lymphoma regressed on withdrawal of MM.,"[[""primary CNS lymphoma""], [""MM""], [""regression""]]"
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.,"[[""thalassemia intermedia"",""fetal hemoglobin""]]"
CONCLUSIONS: Infectious endophthalmitis is a potential complication of intravitreal bevacizumab injection.,"[[""Infectious endophthalmitis""], [""Bevacizumab""], [""Infectious endophthalmitis""], [""Bevacizumab""], [""Infectious endophthalmitis""], [""Bevacizumab""], [""Infectious endophthalmitis""], [""Bevacizumab""], [""Infectious endophthalmitis""], [""Bevacizumab""], [""Infectious endophthalmitis""], [""Bevacizumab""], [""Infectious endophthalmitis""], [""Bevacizumab""], [""Infectious endophthalmitis""], [""Bevacizumab""], [""Infectious endophthalmitis""], [""Bevacizumab""],"
"A patient, while on intravenous ritodrine therapy for preterm labor, experienced an episode of acute chest pain.","[[""ritodrine"",""acute chest pain""]]"
"A 79-year-old man with ischemic heart disease, chronic atrial fibrillation, chronic renal failure, hypothyroidism, and gout arthritis was hospitalized because of fatigue, myalgia, and leg weakness, shortly after starting treatment with colchicine.","[[""Colchicine"",""myalgia""]]"
Cutaneous ulceration: an unusual complication of intravenous pentamidine therapy.,"[[""Pentamidine"",""cutaneous ulceration""]]"
"Dyspnea, hypoxemia, and pleuritic chest pain occurred within 24 hours of rituximab administration, and there was no other apparent explanation.","[[""rituximab"",""dyspnea""]]"
Severe leukopenia associated with mild hepatotoxicity in an HIV carrier treated with nevirapine.,"[[""nevirapine"",""hepatotoxicity""]]"
"The potential role of propranolol in inducing central nervous system disturbances is emphasized, and the literature on the subject is reviewed.","[[""propranolol"",""central nervous system disturbances""]]"
Heat stroke-like episode in a child caused by zonisamide.,"[[""zonisamide"",""heat stroke-like episode""]]"
We discuss the association between carbamazepine and hyponatremia and the causes of hyponatremia after cardiopulmonary bypass.,"[[""Carbataxel"",""hyponatremia""]]"
DISCUSSION: A review of the cases of SS with implication of mirtazapine as the cause was performed.,"[[""SS""], [""mirtazapine""]]"
We believe that the acute renal failure in our patient was associated with anastrozole.,"[[""anastrozole"",""acute renal failure""]]"
Hepato-biliary abnormalities secondary to ceftriaxone use: a case report.,"[[""hepato-biliary abnormalities""], [""ceftriaxone""], [""case report""]]"
One patient was an 80-year-old woman who was admitted for Staphylococcus aureus knee arthritis after several intraarticular injections of sodium hyaluronate and corticosteroids.,"[[""Staphylococcus aureus"",""knee arthritis""]]"
CASE SUMMARIES: Two patients who received ifosfamide-containing chemotherapy developed NCSE.,"[[""ifosfamide"",""nephrotoxicity""]]"
PURPOSE: To present a case of respiratory depression following the administration of nebulised morphine.,"[[""morphine"",""respiratory depression""]]"
CONCLUSIONS: Symptoms and pathologic changes of colitis are associated with exposure to rofecoxib.,"[[""rofecoxib"",""drug-induced colitis""]]"
"After only the third dose of pentamidine, it was noted that the patient's heart rate had decreased to 48 beats/minute.","[[""Pentamidine"",""heart rate""]]"
"We report the case of an 87-year-old white woman with myasthenia gravis who presented with nausea, shortness of breath, azotemia, and hyperkalemia shortly after completing a course of intravenous immunoglobulin (IVIG).","[[""myasthenia gravis""], [""IVIG""], [""azotemia""], [""hyperkalemia""]]"
Priapism associated with trazodone therapy: case report.,"[[""Priapism""], [""trazodone""], [""Priapism""], [""trazodone""], [""Priapism""], [""trazodone""], [""Priapism""], [""trazodone""], [""Priapism""], [""trazodone""], [""Priapism""], [""trazodone""], [""Priapism""], [""trazodone""], [""Priapism""], [""trazodone""], [""Priapism""], [""trazodone""], [""Priapism""], [""trazodone""], [""Priapism""], [""trazodone""], [""Priapism""], [""t"
CONCLUSION: The results suggest that olanzapine may be useful in treating patients with clozapine-induced granulocytopenia without the risk of recurrence of hematologic side effects.,"[[""clozapine"",""granulocytopenia""]]"
OBJECTIVE: To evaluate the efficacy of the administration of insulin by a jet-injector device in stopping and reversing severe human insulin-induced lipoatrophy.,"[[""jet-injector device"",""administration of insulin""]]"
"Skin rash began after 2 weeks of treatment, and signs of hepatocellular failure developed 3 weeks after phenobarbital had been started.","[[""phenobarbital"",""hepatocellular failure""]]"
Ticlopidine-induced aplastic anemia (TIAA) is considered very uncommon.,"[[""Ticlopidine"",""drug induction""]]"
Refractory hypoglycemia from ciprofloxacin and glyburide interaction.,"[[""ciprofloxacin"",""hypoglycemia""], [""glyburide"",""hypoglycemia""]]"
Acute generalized exanthematous pustulosis induced by salazosulfapyridine in a patient with ulcerative colitis.,"[[""salazosulfapyridine"",""induces""]]"
Progressive interstitial lung disease from prolonged methotrexate therapy.,"[[""methotrexate"",""prolonged use""]]"
The present study describes a patient who had unusual weight fluctuation under corticosteroid and psychotropic treatment such as mianserin and aripiprazole.,"[[""mianserin"",""weight fluctuation""], [""aripiprazole"",""weight fluctuation""]]"
"We highlight two instances of systemic allergic reaction, and discuss the potential side effects of local aprotinin injections in the orthopaedic setting as well as the evidence base for its use.","[[""aprotinin"",""side effect""]]"
Differential diagnoses included ocular rosacea with cicatrizing conjunctivitis and 5-FU-induced ectropion.,"[[""5-FU"",""ectropion""]]"
Clostridium difficile toxin-induced colitis after use of clindamycin phosphate vaginal cream.,"[[""Clostridium difficile toxin"",""colitis""]]"
Colonic mucosal necrosis following administration of calcium polystryrene sulfonate (Kalimate) in a uremic patient.,"[[""Kalimate"",""colonic mucosal necrosis""]]"
"Four days after intravenous Zoledronic acid, the patient presented to emergency room with complaints of carpopedal spasm and bronchospasm.","[[""Zoledronic acid"",""carpopedal spasm""]]"
Kaposi's sarcoma in a patient treated with imatinib mesylate for chronic myeloid leukemia.,"[[""Kaposi's sarcoma""], [""Imatinib mesylate""], [""Kaposi's sarcoma""], [""Imatinib mesylate""], [""Chronic myeloid leukemia""]]"
"Risperidone is a frequently used member of a new class of atypical antipsychotics-the serotonin-dopamine antagonists (SDAs)-due to its comparatively high efficacy and low D2/5HT2 binding ratio, which results in a low incidence of extrapyramidal side effects including tardive dyskinesia (TD).","[[""Risperidone"",""drug class""]]"
"After five and six weeks of continuous oral administration of methylprednisolone, the boys developed steroid diabetes.","[[""methylprednisolone"",""steroid diabetes""]]"
The currently available clinical and neuropharmacologic data suggest that carbamazepine may be an antagonist of dopamine and that this property is responsible for the production of dystonia.,"[[""dystonia""], [""carbamazepine""], [""dystonia""], [""carbamazepine""], [""dystonia""], [""carbamazepine""], [""dystonia""], [""carbamazepine""], [""dystonia""], [""carbamazepine""], [""dystonia""], [""carbamazepine""], [""dystonia""], [""carbamazepine""], [""dystonia""], [""carbamazepine""], [""dystonia""], [""carbamazepine""], [""dystonia""], [""carbamazepine""], [""dystonia"""
There are now reports of liver failure following treatment of childhood cancers with AMD.,"[[""Adriamycin"",""liver failure""]]"
We describe a case of ulcerative proctitis after ibuprofen treatment in a girl with juvenile systemic lupus erythematosus.,"[[""ibuprofen"",""ulcerative proctitis""]]"
"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.","[[""BH-AC"",""reversible encephalopathy syndrome""]]"
Baclofen withdrawal: a cause of prolonged fever in the intensive care unit.,"[[""baclofen"",""withdrawal""]]"
Radiologic recognition of adriamycin cardiotoxicity.,"[[""adriamycin"",""cardiotoxicity""]]"
Gold nephropathy due to auranofin obscured by tolmetin pseudoproteinuria.,"[[""auranofin"",""pseudoproteinuria""]]"
This report highlights a case of drug-induced dysphagia in a patient receiving haloperidol for obsessive nocturnal thoughts and auditory disturbances.,"[[""dysphagia""], [""haloperidol""], [""dysphagia""], [""haloperidol""], [""dysphagia""], [""haloperidol""], [""dysphagia""], [""haloperidol""], [""dysphagia""], [""haloperidol""], [""dysphagia""], [""haloperidol""], [""dysphagia""], [""haloperidol""], [""dysphagia""], [""haloperidol""], [""dysphagia""], [""haloperidol""], [""dysphagia""], [""haloperidol""], [""dysphagia"
"RESULTS: Brimonidine was observed to cause IOP elevation, confirmed on rechallenge, scoring 8 (strong probability) on an adverse drug reaction probability score.","[[""Brimonidine"",""adverse drug reaction""]]"
OBJECTIVE: To report a case of fatal hyperkalemia owing to succinylcholine administration in a patient with mucositis secondary to chemotherapy.,"[[""succinylcholine"",""hyperkalemia""]]"
Unexpected severe reversible cyclosporine A-induced nephrotoxicity in a patient with systemic lupus erythematosus and tubulointerstitial renal disease.,"[[""cyclosporine A"",""nephrotoxicity""]]"
Nephropathy caused by methicillin therapy for staphylococcal septicemia.,"[[""methicillin"",""nephropathy""]]"
The nodules regressed after withdrawal of methotrexate therapy in one patient and were arrested with the addition of hydroxychloroquine in the other.,"[[""hydroxychloroquine"",""regression""]]"
"In addition to the recognized arrhythmic complications, the authors emphasize myocardial necrosis as a possible further manifestation of amsacrine-related cardiotoxicity.","[[""amsacrine"",""cardiotoxicity""]]"
"Recently, her serum theophylline levels had increased to the toxic range (133.2 micromol/L [24 microg/mL]) shortly after the addition of zafirlukast (Accolate, Zeneca Pharmaceuticals, Wilmington, Del) to her regimen.","[[""Accolate"",""manufacturer""]]"
"Physicians should be aware of the risk of severe AIHA in CLL patients with a history of AIHA or positivation of the DAT during previous fludarabine administration, or in case of secondary fixation of complement to the red cell membrane occurring during fludarabine treatment.","[[""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""acute idiopathic hemolytic anemia""], [""a"
"In these patients, long-acting octreotide may trigger serious hypoglycemia.","[[""Long-acting octreotide"",""serious hypoglycemia""]]"
No other endogenous or exogenous cause for the gynecomastia could be found except for the theophylline.,"[[""gynecomastia""], [""theophylline""], [""gynecomastia""], [""theophylline""], [""gynecomastia""], [""theophylline""], [""gynecomastia""], [""theophylline""], [""gynecomastia""], [""theophylline""], [""gynecomastia""], [""theophylline""], [""gynecomastia""], [""theophylline""], [""gynecomastia""], [""theophylline""], [""gynecomastia""], [""theophylline""], [""gynecomasti"
"We report a case of generalized cutaneous sclerosis associated with muscle and oesophageal involvement in a patient exposed to herbicides containing bromocil, diuron and aminotriazole.","[[""bromocil"",""dermal toxicity""], [""bromocil"",""muscle toxicity""], [""bromocil"",""oesophageal toxicity""]]"
"Possible mechanisms by which clonidine decreases spasticity are described, probable mechanisms of induced bradycardia are reviewed, and specific treatment recommendations for the use of clonidine in spinal cord injured patients are presented.","[[""clonidine"",""bradycardia""]]"
Sporadic rippling muscle disease unmasked by simvastatin.,"[[""Simvastatin"",""unmasked""]]"
PURPOSE: To report a case of nodular scleritis following alendronate sodium.,"[[""alendronate sodium"",""nodular scleritis""]]"
"No explanation for this delay was found, other than the possibility that magnesium sulfate treatment impeded lactogenesis.","[[""magnesium sulfate"",""breastfeeding""]]"
"The authors describe pericardial hemorrhage, which is related to the use of low-dose acetylsalicylic acid in a patient with essential thrombocythemia.","[[""acetylsalicylic acid"",""hemorrhage""]]"
"The authors presented a case of pulmonary hypertension during lithium therapy, while she has been on lithium for 6 years.","[[""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary hypertension""], [""lithium""], [""pulmonary"
"However, a large case-control study included three cases of either Stevens-Johnson syndrome or toxic epidermal necrolysis associated with ofloxacin use, but no details of the cases were given.","[[""Stevens-Johnson syndrome""], [""toxic epidermal necrolysis""]]"
"Immobilization, while Paget's bone disease was present, and perhaps enhanced activation of dihydrotachysterol by rifampicin, could have led to increased calcium-release into the circulation.","[[""Paget's disease""], [""rifampicin""], [""immobilization""]]"
"Intravenous verapamil therapy in babies may cause apnea, hypotension, and bradycardia; continued episodes of atrial flutter in a child may cause sudden death; quinidine may be related to the death; children with ""familial seizure disorders"" may in fact have the long QT interval syndrome.","[[""quinidine"",""apnea""]]"
"Subsequent in vivo/vitro studies clearly demonstrated that the neurological effects were due to a synergistic action of desferrioxamine and prochlorperazine, probably resulting in exceptional fluxes of intra/extra cellular iron/copper disturbing noradrenergic and serotonergic systems.","[[""desferrioxamine"",""neurotoxicity""], [""desferrioxamine"",""synergistic action""]]"
Voriconazole (VRC) has not previously been reported to cause angio-oedema.,"[[""Voriconazole"",""angio-oedema""]]"
"Ten days after itraconazole was started, he developed paralytic ileus, neurogenic bladder, mild left ptosis, and absence of deep reflexes, with severe paralysis of the lower extremities and mild weakness of the upper extremities.","[[""itraconazole"",""paralytic ileus""]]"
Propoxyphene-induced wide complex dysrhythmia responsive to sodium bicarbonate therapy has not been previously reported in the literature.,"[[""propoxyphene"",""wide complex dysrhythmia""]]"
"The patient was given methimazole instead of propylthiouracil but, 10 weeks later, agranulocytosis again occurred.","[[""agranulocytosis""], [""methimazole""], [""propylthiouracil""]]"
Para-aminosalicylic acid-induced hypoglycaemia in a patient with diabetic nephropathy.,"[[""para-aminosalicylic acid"",""hypoglycaemia""]]"
We report four cases of encephalopathy coincident with elevated aluminum levels as well as one patient who developed seizures while receiving continuous bladder irrigations with alum.,"[[""alum"",""seizures""]]"
Antineutrophil cytoplasmic antibody-positive crescentic glomerulonephritis associated with propylthiouracil therapy.,"[[""antineutrophil cytoplasmic antibody-positive crescentic glomerulonephritis""], [""propylthiouracil""], [""antineutrophil cytoplasmic antibody-positive crescentic glomerulonephritis""]]"
"The patient's clinical presentation, histologic features on liver biopsy and favorable course after stopping the drug suggest that barbiturates can be added to the list of agents which can cause submassive hepatic necrosis.","[[""barbiturates"",""submassive hepatic necrosis""]]"
Reversible valproic acid-induced dementia: a case report.,"[[""valproic acid"",""dementia""]]"
This case report describes a 38-year-old male in whom SIADH was strongly suspected secondary to Tegretol therapy to control a seizure disorder.,"[[""Tegretol"",""seizure disorder""]]"
RESULTS: Both patients experienced a previously unreported side effect--falling backward--associated with bupropion use.,"[[""bupropion"",""falling backward""]]"
"Despite a very low complication rate, several severe arterial thrombotic events have been reported following thrombin injection of pseudoaneurysms.","[[""thrombin"",""arterial thrombosis""]]"
This report describes the first case of insulin-induced cardiac failure in a patient without underlying heart disease.,"[[""insulin"",""cardiac failure""]]"
"We report a 50-year-old male patient with a 15-year history of psoriasis including mutilating psoriatic arthritis, in whom the withdrawal of cyclosporin A induced a generalised pustular exacerbation and a aggravation of the joint condition.","[[""cyclosporin A"",""psoriasis""]]"
CONCLUSION: This rare case of PTU-induced ANCA-associated vasculitis manifested with ototoxicity in combination with systemic involvement.,"[[""PTU"",""ototoxicity""]]"
An 11-year-old boy developed a severe enteropathy 2 years after initiation of clofazimine treatment for graft-versus-host disease.,"[[""clofazimine"",""induction of graft-versus-host disease""]]"
Neurotoxicity of valacyclovir in peritoneal dialysis: a pharmacokinetic study.,"[[""valacyclovir"",""neurotoxicity""]]"
We report 3 cases of children with acute lymphoblastic leukemia who developed seizures and altered sensorium after L-asparaginase therapy.,"[[""L-asparaginase"",""seizures""]]"
We report a male patient with advanced AIDS who developed hypercalcemia 2 weeks after institution of rhGH therapy.,"[[""rhGH"",""hypercalcemia""]]"
After treatment with a beta-sympathomimetic drug (Partusisten) one fetus developed supraventricular tachycardia.,"[[""Partusisten"",""supraventricular tachycardia""]]"
"OBJECTIVE: 1) To describe a patient with rheumatoid arthritis receiving adalimumab who developed fever, pancytopenia, splenomegaly, and extreme hyperferritinemia.","[[""adalimumab"",""rheumatoid arthritis""]]"
Severe hepatitis caused by cyproterone acetate.,"[[""cyproterone acetate"",""hepatitis""]]"
We report the case of intoxication of a 41-year-old female patient suffering from major depression with mirtazapine complicated by severe hypothermia.,"[[""mirtazapine"",""intoxication""]]"
Case studies in heparin-induced thrombocytopenia.,"[[""heparin"",""thrombocytopenia""]]"
Allergic contact angioedema to benzoyl peroxide.,"[[""allergic contact angioedema""], [""benzoyl peroxide""], [""contact angioedema""]]"
Easily reversible hypoxemia and hypotension induced by nimodipine.,"[[""nimodipine"",""hypotension""]]"
Methylphenidate-associated enuresis in attention deficit hyperactivity disorder.,"[[""methylphenidate"",""enuresis""]]"
CONCLUSIONS: The risk of drug-induced rhabdomyolysis due to the potential interaction between lovastatin and azithromycin or clarithromycin should be considered before the concomitant use of these agents.,"[[""lovastatin"",""drug interaction""], [""lovastatin"",""clarithromycin"",""drug interaction""]]"
An immediate hemolytic reaction induced by repeated administration of oxaliplatin.,"[[""oxaliplatin"",""hemolytic reaction""]]"
"In one case, disulfiram was the only potential teratogen exposed to the fetus.","[[""disulfiram"",""teratogen""]]"
"Cutaneous rashes and eruptions can be caused by many medications, including carbamazepine.","[[""Carbamazepine"",""side effect""], [""Carbamazepine"",""rash""]]"
A 64 year old woman with previous history of coronary stenting five days before was admitted in our institution for intracranial bleeding while receiving aspirin and clopidogrel.,"[[""clopidogrel"",""intracranial bleeding""]]"
Reversal of ergotamine-induced arteriospasm by mechanical intra-arterial dilatation.,"[[""ergotamine"",""arteriospasm""]]"
We describe a patient with idiopathic RLS who developed augmentation after 8 months of levodopa treatment.,"[[""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""], [""Restless legs syndrome""],"
We describe a case of prolonged terbinafine-induced cholestatic liver disease.,"[[""terbinafine"",""cholestatic liver disease""]]"
OBJECTIVE: To investigate the mechanisms involved in hypersensitivity reactions to cyclosporine and determine the feasibility of future cyclosporine use.,"[[""cyclosporine"",""hypersensitivity reaction""]]"
"We describe a patient with acute myeloblastic leukemia (AML) who developed nephrotic syndrome after receiving several courses of chemotherapy, including macrophage-colony-stimulating factor (M-CSF).","[[""Acute myeloblastic leukemia""], [""nephrotic syndrome""], [""macrophage-colony-stimulating factor""]]"
OBJECTIVE: The authors described a case of interferon-induced psychosis as a framework to review the literature and discuss the decision to pursue antiviral treatment in psychiatrically ill patients with hepatitis C.,"[[""interferon"",""psychosis""]]"
Withdrawal emergent syndrome in an infant associated with maternal haloperidol therapy.,"[[""Withdrawal emergent syndrome""], [""Haloperidol""], [""Withdrawal emergent syndrome""], [""Haloperidol""], [""Withdrawal emergent syndrome""], [""Haloperidol""], [""Withdrawal emergent syndrome""]]"
A 74-year-old hypercholestrerolaemic woman taking cerivastatin (0.15 mg/day) for 22 days complained of general muscle weakness and muscle pain.,"[[""cerivastatin"",""muscle weakness""]]"
Potential mechanisms regarding the pathophysiology of lithium-associated CDI are discussed.,"[[""Lithium"",""Clinical and laboratory investigations""]]"
Antibiotic-associated colitis (pseudomembranous colitis) developed in four patients with spinal cord injury and taking oral trimethoprim-sulfamethoxazole.,"[[""antibiotic-associated colitis""], [""antibiotic-associated colitis""], [""pseudomembranous colitis""]]"
"Based on our experience and on previously published data, serum ammonia levels appear to be indicated in all ED patients on valproic acid therapy who present with altered mental status.","[[""valproic acid"",""altered mental status""]]"
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,"[[""priapism"",""drug interaction""]]"
A small number of oxaliplatin-related hemolytic and/or thrombocytopenic reactions have been reported.,"[[""oxaliplatin"",""hemolytic and/or thrombocytopenic reactions""]]"
"CONCLUSIONS: LTG overdose may result in a severe but reversible encephalopathy, a previously undescribed phenomenon.","[[""L-tryptophan"",""toxicity""]]"
"OBJECTIVE: We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).","[[""clozapine"",""neutropenia""]]"
A 40-year-old man with relapsing-remitting multiple sclerosis (MS) developed primary central nervous system lymphoma (PCNSL) after having received 21 doses of natalizumab monotherapy.,"[[""primary central nervous system lymphoma""], [""natalizumab""], [""multiple sclerosis""]]"
Acute lung injury associated with 5-fluorouracil and oxaliplatinum combined chemotherapy.,"[[""5-fluorouracil"",""lung injury""], [""oxaliplatinum"",""lung injury""]]"
Itraconazole-related increased vincristine neurotoxicity: case report and review of literature.,"[[""Itraconazole"",""increased vincristine neurotoxicity""]]"
Nonconvulsive status epilepticus due to ifosfamide.,"[[""ifosfamide"",""nonconvulsive status epilepticus""]]"
Syncope induced by propranolol in hypertrophic cardiomyopathy.,"[[""hypertrophic cardiomyopathy""], [""propranolol""], [""syncope""]]"
OBJECTIVE: To describe the development of valproate-related reproductive endocrine disorders in women with epilepsy.,"[[""valproate"",""reproductive endocrine disorders""]]"
"A sixty-year-old woman with advanced breast cancer, previously treated with cisplatin, developed an irreversible lethal renal failure with anuria, the day after 5 g/m2 bolus ifosfamide.","[[""ifosfamide"",""nephrotoxicity""]]"
An adolescent male developed acute pancreatitis and pseudocyst of the pancreas 16 weeks after cessation of intramuscular L-asparaginase.,"[[""L-asparaginase"",""acute pancreatitis""]]"
"ADR induced by drug treatment can be a side effect of treatment with antipsychotic drugs and other drugs; however, there have been no reports of lamivudine-induced ADR in the English literature.","[[""lamivudine"",""antipsychotic drug""]]"
"In this case report, we present clinical and laboratory findings of a case with chronic hepatitis B that developed acute dystonia soon after the first dose of pegylated interferon alpha.","[[""pegylated interferon alpha"",""acute dystonia""]]"
Propafenone-induced ataxia: report of three cases.,"[[""propafenone"",""ataxia""]]"
Hepatotoxicity resolved once erlotinib was discontinued and serum transaminases returned to baseline normal values.,"[[""erlotinib"",""hepatotoxicity""]]"
"Contrary to previous recommendations, our experience cautions against the further use of high-dose cytarabine in patients who develop PPE, and is a timely reminder of the potential toxicity of this agent, which is now increasingly being used as first-line treatment in the management of haematologic malignancies.","[[""cytarabine"",""PPE""]]"
Symptomatic hypocalcaemia and renal impairment associated with bisphosphonate treatment in patients with multiple myeloma.,"[[""bisphosphonate"",""hypocalcaemia""]]"
